frame_id,corner_id,directly_visible,occluded_but_geometrically_inferable,outside_image,physical_surface_corner,virtual_cuboid_corner,ambiguous,reviewer_xy_u,reviewer_xy_v,semantic_role_confident,note
eval_night08__1779449470423201536,0,,,,,,,,,,
eval_night08__1779449470423201536,1,,,,,,,,,,
eval_night08__1779449470423201536,2,,,,,,,,,,
eval_night08__1779449470423201536,3,,,,,,,,,,
eval_night08__1779449470423201536,4,,,,,,,,,,
eval_night08__1779449470423201536,5,,,,,,,,,,
eval_night08__1779449470423201536,6,,,,,,,,,,
eval_night08__1779449470423201536,7,,,,,,,,,,
eval_night08__1779449470423201536,8,,,,,,,,,,
eval_noapril__1775201428535961600,0,,,,,,,,,,
eval_noapril__1775201428535961600,1,,,,,,,,,,
eval_noapril__1775201428535961600,2,,,,,,,,,,
eval_noapril__1775201428535961600,3,,,,,,,,,,
eval_noapril__1775201428535961600,4,,,,,,,,,,
eval_noapril__1775201428535961600,5,,,,,,,,,,
eval_noapril__1775201428535961600,6,,,,,,,,,,
eval_noapril__1775201428535961600,7,,,,,,,,,,
eval_noapril__1775201428535961600,8,,,,,,,,,,
eval_pallet07__1778652166837872128,0,,,,,,,,,,
eval_pallet07__1778652166837872128,1,,,,,,,,,,
eval_pallet07__1778652166837872128,2,,,,,,,,,,
eval_pallet07__1778652166837872128,3,,,,,,,,,,
eval_pallet07__1778652166837872128,4,,,,,,,,,,
eval_pallet07__1778652166837872128,5,,,,,,,,,,
eval_pallet07__1778652166837872128,6,,,,,,,,,,
eval_pallet07__1778652166837872128,7,,,,,,,,,,
eval_pallet07__1778652166837872128,8,,,,,,,,,,
eval_pallet09__1778653674184865536,0,,,,,,,,,,
eval_pallet09__1778653674184865536,1,,,,,,,,,,
eval_pallet09__1778653674184865536,2,,,,,,,,,,
eval_pallet09__1778653674184865536,3,,,,,,,,,,
eval_pallet09__1778653674184865536,4,,,,,,,,,,
eval_pallet09__1778653674184865536,5,,,,,,,,,,
eval_pallet09__1778653674184865536,6,,,,,,,,,,
eval_pallet09__1778653674184865536,7,,,,,,,,,,
eval_pallet09__1778653674184865536,8,,,,,,,,,,
eval_outside__1778651650839160832,0,,,,,,,,,,
