file,folder,frame,reasons,severity,R_det,R_orthonormality_err,bbox_diag_px,centroid_err_px,gt_source,hard_flags,max_loo_kp,max_loo_px,n_behind_camera,n_click,n_sentinel,resolve_reproj_med,resolve_reproj_p90,split,stored_pose_excess_px,stored_pose_reproj_max,stored_pose_reproj_med,stored_reproj_error_px,stored_vs_resolved_R_deg,stored_vs_resolved_t_m,swapped_dims_reproj_med,z_resolve,z_stored
challenge/data/01_real/eval_canonical/_outside_eval_manual_gt/1778651614152548352.json,_outside_eval_manual_gt,1778651614152548352,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,212.81,0.0,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,1,5.252,0,3,2,0.364,2.557,train,0.0,2.597,0.364,0.8345979311921468,0.0,0.0,1.748,-0.29,-0.69
challenge/data/01_real/eval_canonical/_outside_eval_manual_gt/1778651616134528000.json,_outside_eval_manual_gt,1778651616134528000,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,210.56,0.0,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,1,4.156,0,3,2,0.267,2.06,train,0.0,2.062,0.267,0.6649036857933578,0.0,0.0,1.838,-0.39,-0.73
challenge/data/01_real/eval_canonical/_outside_eval_manual_gt/1778653524402450688.json,_outside_eval_manual_gt,1778653524402450688,STORED_POSE_MISMATCH_dR0.79deg_dt0.002m_excess-0.3px,RED,1.0,0.0,187.26,0.203,manual,STORED_POSE_MISMATCH_dR0.79deg_dt0.002m_excess-0.3px,2,11.039,0,6,0,2.93,6.051,,-0.29,6.828,2.64,2.892307760098045,0.79,0.0016,4.355,2.45,0.02
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653013973307392.json,capturepalletcad_manual_gt,1778653013973307392,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,851.55,0.102,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,0,9.541,0,3,1,1.818,2.644,train,-0.01,3.654,1.808,1.4308039452588672,0.001,0.0,28.203,1.27,-0.24
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653020759897344.json,capturepalletcad_manual_gt,1778653020759897344,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,766.34,0.0,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,0,17.907,0,4,1,1.632,2.878,eval,0.0,3.643,1.632,1.3942902424549597,0.0,0.0,29.199,1.07,-0.29
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653028016879104.json,capturepalletcad_manual_gt,1778653028016879104,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,778.64,0.001,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,4,9.881,0,5,1,2.965,3.661,train,0.005,3.831,2.97,2.1807193225233528,0.002,0.0,22.178,2.49,0.13
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653033896396544.json,capturepalletcad_manual_gt,1778653033896396544,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,753.94,0.119,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,0,20.769,0,4,1,2.866,4.508,,-0.231,6.693,2.635,2.250157811140807,0.034,0.0008,29.324,2.38,0.02
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653036281819136.json,capturepalletcad_manual_gt,1778653036281819136,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,714.92,0.0,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,1,5.271,0,4,1,1.666,2.565,,0.0,2.872,1.666,1.1542013824136377,0.0,0.0,22.581,1.1,-0.28
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653039607563264.json,capturepalletcad_manual_gt,1778653039607563264,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,830.32,0.0,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,4,31.856,0,4,1,3.563,7.0,train,0.0,7.281,3.563,3.526974338014334,0.0,0.0,16.61,3.13,0.32
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653072734532096.json,capturepalletcad_manual_gt,1778653072734532096,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,454.76,0.0,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,0,8.581,0,5,2,1.744,3.928,eval,0.0,4.029,1.744,1.7680967672693835,0.0,0.0,17.507,1.19,-0.26
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653072835089920.json,capturepalletcad_manual_gt,1778653072835089920,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,437.59,0.001,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,0,6.09,0,5,2,2.072,2.603,eval,0.0,2.631,2.072,1.5603136262258488,0.0,0.0,14.188,1.54,-0.15
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653072868820224.json,capturepalletcad_manual_gt,1778653072868820224,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,424.33,0.0,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,0,4.277,0,5,2,0.617,2.007,eval,0.0,2.05,0.617,0.77923864844589,0.0,0.0,15.024,-0.02,-0.61
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653073171027968.json,capturepalletcad_manual_gt,1778653073171027968,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,426.3,0.0,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,1,5.616,0,5,2,1.035,2.896,,0.0,3.046,1.035,1.184033624907318,0.0,0.0,17.285,0.43,-0.48
challenge/data/01_real/eval_canonical/capturepalletcad_manual_gt/1778653075052340224.json,capturepalletcad_manual_gt,1778653075052340224,MANUAL_KPS_NONE_x2;SENTINEL_x2,RED,1.0,0.0,467.06,0.0,manual,MANUAL_KPS_NONE_x2;SENTINEL_x2,5,7.531,0,4,2,3.135,3.561,,0.0,3.828,3.135,2.232235050313996,0.0,0.0,20.9,2.67,0.18
challenge/data/01_real/manual_gt/_night_eval_manual_gt/1779449210935970816.json,_night_eval_manual_gt,1779449210935970816,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,663.96,0.0,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,0,9.571,0,4,1,1.073,2.348,train,-0.001,2.44,1.072,1.109676197564824,0.0,0.0,23.082,0.47,-0.47
challenge/data/01_real/manual_gt/_night_eval_manual_gt/1779449245478053376.json,_night_eval_manual_gt,1779449245478053376,robust_z=6.4,RED,1.0,0.0,412.39,0.0,manual,,4,18.154,0,6,0,6.644,11.425,,0.0,14.298,6.644,5.783304364521502,0.0,0.0,13.572,6.42,1.29
challenge/data/01_real/manual_gt/_night_eval_manual_gt/1779449259354370816.json,_night_eval_manual_gt,1779449259354370816,MANUAL_KPS_NONE_x1;SENTINEL_x1,RED,1.0,0.0,728.56,0.0,manual,MANUAL_KPS_NONE_x1;SENTINEL_x1,2,11.119,0,4,1,2.928,6.71,train,0.0,6.825,2.928,2.645161051434405,0.0,0.0,16.222,2.45,0.12
challenge/data/01_real/manual_gt/_night_eval_manual_gt/1779449261622708480.json,_night_eval_manual_gt,1779449261622708480,robust_z=5.4,RED,1.0,0.0,570.43,0.052,manual,,3,37.001,0,5,0,5.706,17.79,train,-0.005,19.653,5.701,6.504757449085972,0.001,0.0,16.291,5.42,0.99
