az_bin,el_bin,role,n,mean_dx,mean_dy,bias_mag,std_dx,std_dy,median_err
0-45,high,far,60,-4.922521521829268,5.6318819445210275,7.479927297099503,33.56869550076382,5.162529716586638,12.920280173489495
0-45,high,near,54,-12.268694502711107,-4.4204120316675235,13.040740290741347,71.97885359093137,7.715900126393076,9.83433748167289
0-45,low,far,68,18.363658698635675,4.374895965585608,18.877597185809293,39.76113521189107,6.755182306145899,19.88406139973616
0-45,low,near,60,-20.64274422616871,0.3737562231044423,20.64612755219077,45.26651447881543,6.197985218275725,8.459677052436938
45-90,high,far,6,74.5702952093028,9.081615557345705,75.12126642126044,26.62608960515525,3.345729457336864,83.40194715159467
45-90,high,near,8,-5.446524803754279,-3.9337744748436094,6.718572322810978,9.849514205086356,5.118336681720726,5.3492716656533155
45-90,low,far,4,57.72343543118751,-8.9427690721052,58.412054549172254,36.113302584781266,7.59468879720373,57.64355379161512
45-90,low,near,4,-79.64694983427219,2.8555887616380744,79.69812422559683,28.34950165579399,2.830935271914365,79.87235246009072
135-180,high,far,64,-46.1246119046351,8.919214779732535,46.97906145976317,56.72761819342072,16.123589534539953,24.229595625809516
135-180,high,near,61,-11.118466840694749,0.8547563084103738,11.151274063280662,66.96945710572997,8.511740728964362,7.79370834016157
135-180,low,far,68,-32.38439138168199,2.873635589478212,32.51163771118082,36.75500643813185,7.5142670713048405,25.74470914550928
135-180,low,near,62,-10.181590347930484,-0.6520775975433514,10.2024500589951,24.71480450326511,2.767890823800993,5.316712596703342
