frame_id,session_id,object_type,source_label,reason,unknown_keypoint_indices,unknown_keypoint_count
wood_183705:000000,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000000.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000088,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000088.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000149,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000149.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000213,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000213.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000275,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000275.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000335,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000335.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000400,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000400.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000460,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000460.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000521,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000521.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000586,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000586.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000646,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000646.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000706,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000706.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000768,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000768.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000828,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000828.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000889,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000889.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:000949,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/000949.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001010,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001010.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001070,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001070.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001130,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001130.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001193,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001193.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001263,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001263.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001327,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001327.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001388,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001388.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001463,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001463.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_183705:001523,wood_183705,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_183705_manual_gt/001523.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000012,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000012.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000072,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000072.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000132,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000132.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000192,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000192.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000252,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000252.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000312,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000312.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
