epoch,criterion,identity,rot90,rot180,rot270
0,one2many,23109,1120,20,979
0,one2one,2306,116,4,98
1,one2many,21719,1732,50,1180
1,one2one,2165,181,5,119
2,one2many,19721,3960,64,1140
2,one2one,1972,394,7,118
3,one2many,14155,3960,50,6722
3,one2one,1415,396,9,671
4,one2many,12500,3639,70,8728
4,one2one,1245,374,4,871
5,one2many,13004,2930,20,9254
5,one2one,1302,294,3,923
6,one2many,12575,3100,0,9432
6,one2one,1263,311,1,940
7,one2many,12415,2890,20,9501
7,one2one,1241,292,2,949
8,one2many,12847,2964,10,8978
8,one2one,1284,300,5,893
9,one2many,12735,3041,20,9359
9,one2one,1274,304,2,938
10,one2many,12686,3020,0,9420
10,one2one,1271,300,1,941
11,one2many,12589,2817,10,9437
11,one2one,1256,284,2,945
12,one2many,12491,2770,10,9294
12,one2one,1250,278,1,931
13,one2many,12735,2990,0,9299
13,one2one,1278,298,0,927
14,one2many,12692,3155,0,9139
14,one2one,1269,316,0,916
15,one2many,12619,2887,0,9499
15,one2one,1267,289,1,945
16,one2many,12704,3030,10,9128
16,one2one,1273,304,1,910
17,one2many,12668,3098,10,8748
17,one2one,1264,314,1,875
18,one2many,12699,3150,0,9370
18,one2one,1275,315,0,934
19,one2many,12726,2920,0,9430
19,one2one,1274,293,1,942
20,one2many,12573,2688,0,9241
20,one2one,1257,271,0,924
21,one2many,12762,2990,0,9068
21,one2one,1279,297,1,906
22,one2many,12977,2775,0,9279
22,one2one,1296,280,0,929
23,one2many,12740,3077,0,9860
23,one2one,1278,309,1,984
24,one2many,12796,2780,0,9396
24,one2one,1282,277,0,940
25,one2many,12132,2759,0,9690
25,one2one,1215,275,2,968
26,one2many,12455,2820,0,9459
26,one2one,1248,282,0,946
27,one2many,12836,2788,0,9450
27,one2one,1286,278,0,945
28,one2many,12554,2749,0,9400
28,one2one,1255,276,1,942
29,one2many,12435,2747,0,9599
29,one2one,1243,274,2,960
30,one2many,10600,2310,0,7970
30,one2one,1060,231,0,797
31,one2many,10599,2300,0,7980
31,one2one,1060,230,0,798
32,one2many,10608,2290,0,7980
32,one2one,1061,229,0,798
33,one2many,10607,2290,0,7980
33,one2one,1061,229,0,798
34,one2many,10620,2280,0,7980
34,one2one,1062,228,0,798
35,one2many,10620,2280,0,7980
35,one2one,1062,228,0,798
36,one2many,10600,2300,0,7980
36,one2one,1060,230,0,798
37,one2many,10590,2310,0,7980
37,one2one,1059,231,0,798
38,one2many,10599,2300,0,7980
38,one2one,1060,230,0,798
39,one2many,10608,2290,0,7980
39,one2one,1061,229,0,798
