epoch,criterion,identity,rot90,rot180,rot270
0,one2many,0,0,0,0
0,one2one,0,0,0,0
1,one2many,0,0,0,0
1,one2one,0,0,0,0
2,one2many,0,0,0,0
2,one2one,0,0,0,0
3,one2many,0,0,0,0
3,one2one,0,0,0,0
4,one2many,0,0,0,0
4,one2one,0,0,0,0
5,one2many,0,0,0,0
5,one2one,0,0,0,0
6,one2many,0,0,0,0
6,one2one,0,0,0,0
7,one2many,0,0,0,0
7,one2one,0,0,0,0
8,one2many,0,0,0,0
8,one2one,0,0,0,0
9,one2many,0,0,0,0
9,one2one,0,0,0,0
10,one2many,0,0,0,0
10,one2one,0,0,0,0
11,one2many,0,0,0,0
11,one2one,0,0,0,0
12,one2many,0,0,0,0
12,one2one,0,0,0,0
13,one2many,0,0,0,0
13,one2one,0,0,0,0
14,one2many,0,0,0,0
14,one2one,0,0,0,0
15,one2many,0,0,0,0
15,one2one,0,0,0,0
16,one2many,0,0,0,0
16,one2one,0,0,0,0
17,one2many,0,0,0,0
17,one2one,0,0,0,0
18,one2many,0,0,0,0
18,one2one,0,0,0,0
19,one2many,0,0,0,0
19,one2one,0,0,0,0
20,one2many,0,0,0,0
20,one2one,0,0,0,0
21,one2many,0,0,0,0
21,one2one,0,0,0,0
22,one2many,0,0,0,0
22,one2one,0,0,0,0
23,one2many,0,0,0,0
23,one2one,0,0,0,0
24,one2many,0,0,0,0
24,one2one,0,0,0,0
25,one2many,0,0,0,0
25,one2one,0,0,0,0
26,one2many,0,0,0,0
26,one2one,0,0,0,0
27,one2many,0,0,0,0
27,one2one,0,0,0,0
28,one2many,0,0,0,0
28,one2one,0,0,0,0
29,one2many,0,0,0,0
29,one2one,0,0,0,0
30,one2many,0,0,0,0
30,one2one,0,0,0,0
31,one2many,0,0,0,0
31,one2one,0,0,0,0
32,one2many,0,0,0,0
32,one2one,0,0,0,0
33,one2many,0,0,0,0
33,one2one,0,0,0,0
34,one2many,0,0,0,0
34,one2one,0,0,0,0
35,one2many,0,0,0,0
35,one2one,0,0,0,0
36,one2many,0,0,0,0
36,one2one,0,0,0,0
37,one2many,0,0,0,0
37,one2one,0,0,0,0
38,one2many,0,0,0,0
38,one2one,0,0,0,0
39,one2many,0,0,0,0
39,one2one,0,0,0,0
