epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63765,0.62125,0.89357,0.05538,0.34983,0.00487,0.34288,0.99234,0.98065,0.98867,0.91173,0.94664,0.93548,0.9053,0.8815,0.41013,0.64839,0.00721,0.16165,0.00288,0,0.0021,0.0021,0.0811
2,14.4201,0.54258,0.68786,0.05508,0.23013,0.00353,0.07392,0.98069,0.98292,0.98894,0.86918,0.9614,0.96421,0.96406,0.94634,0.55467,0.41001,0.00036,0.19242,0.00408,0,0.00429927,0.00429927,0.0612993
3,19.9889,0.56691,0.49879,0.05601,0.20092,0.00409,0.0126,0.99198,0.9871,0.99021,0.88323,0.96605,0.96129,0.95026,0.93719,0.48138,0.54791,0.00055,0.15196,0.00336,0,0.00649559,0.00649559,0.0414956
4,25.4513,0.51157,0.72709,0.0445,0.19451,0.00356,0.11472,0.99246,0.99355,0.99165,0.91081,0.9609,0.96129,0.95304,0.93115,0.4104,0.56256,0.00192,0.12498,0.00361,0,0.00868672,0.00868672,0.0216867
5,30.9684,0.49631,0.66616,0.04613,0.18492,0.00372,0.05769,0.98717,0.99243,0.99252,0.8897,0.93584,0.94097,0.9047,0.89238,0.50359,0.69715,0.00195,0.15085,0.00437,0,0.00997288,0.00997288,0.00997288
6,36.4991,0.48219,0.72954,0.05048,0.17886,0.00367,0.32293,0.98874,0.96129,0.98828,0.91679,0.91088,0.92258,0.90815,0.88952,0.40045,0.85422,0.01511,0.15864,0.00323,0,0.00995765,0.00995765,0.00995765
7,41.9708,0.49695,0.89766,0.06913,0.19509,0.00371,0.32929,0.98087,0.99247,0.98991,0.88335,0.94656,0.93548,0.94133,0.91852,0.49044,0.57762,0.01609,0.16226,0.00437,0,0.00993906,0.00993906,0.00993906
8,47.4789,0.52417,0.78126,0.06903,0.21479,0.00402,0.06494,0.96194,0.97827,0.9874,0.90238,0.94926,0.96555,0.97511,0.94342,0.44243,0.36827,0.00853,0.16673,0.00404,0,0.00991711,0.00991711,0.00991711
9,52.9644,0.54418,0.7694,0.07554,0.21985,0.00429,0.02886,0.97227,0.97419,0.98667,0.88906,0.94641,0.94839,0.94941,0.89311,0.46517,0.6502,0.01184,0.18924,0.00351,0,0.00989183,0.00989183,0.00989183
10,58.4855,0.54311,0.60261,0.06651,0.23065,0.00406,0.01653,0.98704,0.9871,0.98838,0.88257,0.95464,0.95484,0.95327,0.92085,0.4738,0.51763,0.00757,0.15921,0.0044,0,0.00986323,0.00986323,0.00986323
11,63.9422,0.52701,0.57441,0.06348,0.20518,0.0042,0.0241,0.98008,0.97419,0.98792,0.91269,0.96706,0.96129,0.96616,0.93957,0.39098,0.43044,0.00552,0.14718,0.00339,0,0.00983133,0.00983133,0.00983133
12,69.4496,0.5221,0.69202,0.06026,0.21825,0.00412,0,0.99315,0.98065,0.99076,0.89477,0.9471,0.92903,0.92652,0.89572,0.46308,0.68916,0.00541,0.14317,0.00369,0,0.00979616,0.00979616,0.00979616
13,74.9909,0.53669,0.65267,0.05792,0.225,0.00382,0.12596,0.98673,0.97419,0.99184,0.84716,0.96671,0.95484,0.97025,0.95048,0.58677,0.45028,0.0055,0.19389,0.004,0,0.00975773,0.00975773,0.00975773
14,80.451,0.54063,0.63067,0.04887,0.2407,0.00437,0.00227,0.97396,0.96518,0.98644,0.89365,0.97967,0.93287,0.9616,0.92475,0.48109,0.48251,0.00909,0.18587,0.00418,0,0.00971608,0.00971608,0.00971608
15,85.9468,0.52263,0.53522,0.06424,0.21761,0.00399,0,0.95572,0.99355,0.98842,0.89614,0.93703,0.97419,0.97463,0.94675,0.46361,0.45153,0.00442,0.16696,0.00384,0,0.00967122,0.00967122,0.00967122
16,91.3654,0.53701,0.42906,0.05294,0.2295,0.00383,0,0.98062,0.97949,0.98838,0.88845,0.97311,0.96129,0.96735,0.94816,0.48768,0.38116,0.00713,0.1904,0.00389,0,0.0096232,0.0096232,0.0096232
17,96.7887,0.50071,0.64293,0.05632,0.20194,0.00363,0,0.98935,0.96129,0.98565,0.90584,0.96053,0.94212,0.95923,0.93334,0.41124,0.38015,0.01028,0.18255,0.00347,0,0.00957205,0.00957205,0.00957205
18,102.239,0.49202,0.57753,0.05536,0.21406,0.00369,0,0.98481,0.96129,0.97828,0.87422,0.93848,0.91613,0.92151,0.88762,0.50797,0.59362,0.00548,0.20033,0.00392,0,0.0095178,0.0095178,0.0095178
19,107.772,0.50865,0.63646,0.05891,0.20581,0.00404,0.12183,0.96829,0.98504,0.98733,0.90728,0.94293,0.9594,0.96059,0.92072,0.39371,0.58628,0.00725,0.15617,0.00331,0,0.00946048,0.00946048,0.00946048
20,113.259,0.51159,0.55005,0.05608,0.21596,0.00414,0.04264,0.98708,0.98606,0.99106,0.90083,0.96125,0.96032,0.9607,0.94697,0.44705,0.41874,0.01135,0.17536,0.00431,0,0.00940014,0.00940014,0.00940014
21,118.641,0.52533,0.52036,0.06162,0.22747,0.00402,0.02131,0.98716,0.99192,0.98909,0.90727,0.95506,0.95966,0.95498,0.93471,0.41136,0.43713,0.00731,0.14224,0.00384,0,0.00933683,0.00933683,0.00933683
22,123.998,0.53343,0.50746,0.05905,0.21497,0.00393,0,0.98696,0.97669,0.98869,0.88815,0.95436,0.94443,0.94203,0.92145,0.49371,0.47083,0.0071,0.16604,0.00445,0,0.00927057,0.00927057,0.00927057
23,129.429,0.49468,0.48266,0.05371,0.20837,0.0039,0,0.99187,0.97419,0.99055,0.90197,0.96725,0.97419,0.97153,0.95532,0.44185,0.3812,0.00612,0.14817,0.00438,0,0.00920142,0.00920142,0.00920142
24,134.918,0.51303,0.53422,0.0578,0.19947,0.00393,0,0.99341,0.97211,0.98892,0.91047,0.98022,0.95921,0.97247,0.95244,0.39698,0.28558,0.0062,0.14626,0.00357,0,0.00912942,0.00912942,0.00912942
25,140.232,0.50273,0.34709,0.04928,0.18351,0.00384,0,0.99192,0.97419,0.99038,0.91549,0.97216,0.95484,0.96221,0.94705,0.40873,0.4119,0.00565,0.15645,0.0035,0,0.00905463,0.00905463,0.00905463
26,145.488,0.47762,0.36058,0.04513,0.21216,0.00367,0,0.9671,0.9871,0.9938,0.91912,0.95445,0.97419,0.97295,0.95987,0.38111,0.3533,0.00554,0.14348,0.00335,0,0.0089771,0.0089771,0.0089771
27,150.754,0.49923,0.36452,0.05137,0.19917,0.0042,0,0.96811,0.97918,0.99292,0.83823,0.94261,0.95373,0.94203,0.92261,0.6682,0.43577,0.00783,0.21452,0.00796,0,0.00889687,0.00889687,0.00889687
28,156.081,0.52224,0.52118,0.0587,0.21651,0.00419,0,0.96791,0.99355,0.98985,0.89432,0.949,0.97419,0.96537,0.94806,0.45204,0.45372,0.00394,0.1666,0.00385,0,0.00881401,0.00881401,0.00881401
29,161.353,0.49033,0.63412,0.05583,0.23927,0.00356,0.07894,0.92603,0.9871,0.97063,0.90618,0.88977,0.96129,0.92645,0.89576,0.37106,0.65156,0.00763,0.21528,0.00316,0,0.00872857,0.00872857,0.00872857
30,166.591,0.49275,0.51555,0.05274,0.22324,0.00357,0,0.98525,0.98065,0.98929,0.91435,0.95932,0.95484,0.94434,0.9221,0.39676,0.50514,0.00694,0.15458,0.00322,0,0.0086406,0.0086406,0.0086406
31,171.915,0.50647,0.64103,0.0544,0.21821,0.00368,0.01759,0.97893,0.9871,0.9929,0.88528,0.94674,0.95484,0.95675,0.93164,0.49081,0.55728,0.0047,0.17016,0.00412,0,0.00855018,0.00855018,0.00855018
32,177.241,0.50215,0.51148,0.06332,0.21167,0.00402,0,0.97238,0.9871,0.99343,0.89178,0.93417,0.94839,0.93787,0.92687,0.46446,0.54977,0.005,0.1642,0.00342,0,0.00845736,0.00845736,0.00845736
33,182.486,0.51719,0.49744,0.05961,0.21639,0.00372,0,0.98025,0.96044,0.98647,0.88182,0.95391,0.93467,0.94587,0.89444,0.50309,0.55235,0.0089,0.18347,0.0039,0,0.0083622,0.0083622,0.0083622
34,187.794,0.49767,0.55414,0.05901,0.22115,0.00377,0.01768,0.98083,0.99022,0.99415,0.92817,0.95519,0.96262,0.95956,0.94881,0.34838,0.43528,0.00684,0.15377,0.00303,0,0.00826477,0.00826477,0.00826477
35,193.05,0.4965,0.60463,0.06958,0.20858,0.0039,0,0.98071,0.98416,0.99085,0.90031,0.93581,0.94052,0.92964,0.8851,0.43816,0.68275,0.00665,0.15897,0.00391,0,0.00816514,0.00816514,0.00816514
36,198.312,0.48153,0.63869,0.05129,0.1857,0.00354,0.08038,0.99326,0.97419,0.99209,0.90291,0.96687,0.94839,0.95038,0.93225,0.44771,0.45278,0.00617,0.16087,0.00424,0,0.00806337,0.00806337,0.00806337
37,203.641,0.48273,0.45556,0.06745,0.20383,0.00344,0.0132,0.98037,0.96678,0.99195,0.92332,0.95421,0.94103,0.93484,0.9206,0.41138,0.44243,0.01723,0.16878,0.00369,0,0.00795954,0.00795954,0.00795954
38,208.95,0.47416,0.45914,0.05806,0.18793,0.00363,0.01304,0.99089,0.97419,0.98864,0.91473,0.97766,0.96129,0.9692,0.94651,0.39266,0.35409,0.01183,0.14446,0.00302,0,0.00785371,0.00785371,0.00785371
39,214.247,0.46403,0.45566,0.05913,0.195,0.00351,0,0.98684,0.96722,0.98672,0.89814,0.96709,0.94792,0.9584,0.94238,0.43914,0.34864,0.00892,0.17613,0.00328,0,0.00774596,0.00774596,0.00774596
40,219.581,0.50264,0.49574,0.06715,0.20708,0.00361,0.01765,0.98665,0.95392,0.97733,0.90628,0.97998,0.94747,0.97467,0.95786,0.415,0.29824,0.0065,0.18018,0.00368,0,0.00763637,0.00763637,0.00763637
41,224.826,0.4728,0.34212,0.05631,0.20822,0.00351,0,0.98049,0.97261,0.98819,0.92518,0.97398,0.96616,0.97501,0.96106,0.3645,0.30432,0.00727,0.14407,0.00292,0,0.007525,0.007525,0.007525
42,230.105,0.46175,0.39067,0.04795,0.1959,0.00344,0,0.98042,0.99355,0.98916,0.90049,0.97406,0.9871,0.9722,0.95774,0.4614,0.32423,0.00451,0.15901,0.00432,0,0.00741194,0.00741194,0.00741194
43,235.392,0.48963,0.4087,0.05335,0.19681,0.00344,0,0.99175,0.9871,0.99325,0.90821,0.97226,0.96774,0.96561,0.9542,0.40616,0.42348,0.00372,0.1332,0.00312,0,0.00729725,0.00729725,0.00729725
44,240.686,0.47135,0.48354,0.05742,0.21044,0.00373,0,0.95565,0.97315,0.9877,0.93171,0.93665,0.95382,0.94816,0.93471,0.36693,0.4023,0.00359,0.16015,0.00309,0,0.00718103,0.00718103,0.00718103
45,245.93,0.4518,0.26922,0.04985,0.19184,0.00328,0,0.9619,0.97741,0.98843,0.91714,0.94727,0.96129,0.95728,0.94286,0.37825,0.32953,0.00595,0.19914,0.00294,0,0.00706335,0.00706335,0.00706335
46,251.283,0.45006,0.4474,0.05229,0.18666,0.00345,0,0.99218,0.97419,0.99161,0.91445,0.96574,0.94839,0.94624,0.93775,0.40271,0.45974,0.00432,0.15987,0.00403,0,0.00694428,0.00694428,0.00694428
47,256.556,0.4498,0.49756,0.05473,0.19418,0.00342,0,0.97434,0.97993,0.98961,0.92716,0.9487,0.95444,0.94247,0.93146,0.34979,0.53481,0.00664,0.13794,0.00294,0,0.00682392,0.00682392,0.00682392
48,261.854,0.47649,0.51687,0.05332,0.22104,0.00344,0,0.97522,0.97419,0.99067,0.92589,0.95496,0.95484,0.96184,0.94716,0.35481,0.34355,0.00459,0.15301,0.00289,0,0.00670234,0.00670234,0.00670234
49,267.162,0.44722,0.37944,0.05524,0.20606,0.0034,0,0.9617,0.98065,0.98598,0.9188,0.95565,0.97312,0.9776,0.96273,0.40871,0.33582,0.00427,0.16479,0.00315,0,0.00657963,0.00657963,0.00657963
50,272.429,0.45058,0.44405,0.04843,0.18936,0.00323,0,0.9934,0.97118,0.98878,0.9329,0.97361,0.95197,0.95824,0.94549,0.34936,0.38666,0.00281,0.13817,0.00305,0,0.00645588,0.00645588,0.00645588
51,277.716,0.43804,0.31811,0.04419,0.1831,0.00296,0,0.98619,0.9871,0.98879,0.91942,0.97965,0.98065,0.98037,0.9706,0.36989,0.27972,0.00318,0.12434,0.00271,0,0.00633115,0.00633115,0.00633115
52,283.044,0.47404,0.38163,0.04582,0.19578,0.00335,0,0.98707,0.99355,0.99044,0.92263,0.98052,0.9871,0.97878,0.96564,0.37301,0.30227,0.0032,0.12542,0.00323,0,0.00620555,0.00620555,0.00620555
53,288.297,0.45487,0.40081,0.0509,0.19887,0.0034,0,0.97463,0.99156,0.99059,0.93426,0.96829,0.98511,0.98195,0.97333,0.335,0.2963,0.00287,0.13021,0.00282,0,0.00607916,0.00607916,0.00607916
54,293.554,0.41376,0.33672,0.03723,0.17751,0.00296,0,0.97376,0.9871,0.98782,0.9135,0.96092,0.97419,0.97662,0.95386,0.4107,0.34559,0.00308,0.14683,0.00383,0,0.00595207,0.00595207,0.00595207
55,298.79,0.42911,0.36683,0.04985,0.18606,0.00315,0,0.98537,0.9871,0.99208,0.94087,0.97249,0.97419,0.97577,0.95905,0.30763,0.34826,0.0022,0.12404,0.00252,0,0.00582435,0.00582435,0.00582435
56,304.037,0.41832,0.37019,0.0497,0.17542,0.00282,0,0.98392,0.99355,0.98978,0.93877,0.97107,0.98065,0.9687,0.95585,0.3177,0.33466,0.00225,0.11507,0.0026,0,0.0056961,0.0056961,0.0056961
57,309.261,0.42926,0.33267,0.05492,0.17922,0.00292,0,0.97942,0.99355,0.98847,0.94449,0.98691,0.9728,0.97566,0.95806,0.33732,0.33653,0.00216,0.12106,0.00276,0,0.00556742,0.00556742,0.00556742
58,314.554,0.40934,0.33955,0.04711,0.17661,0.00287,0,0.98714,0.99061,0.98852,0.92813,0.97429,0.97787,0.96774,0.9514,0.3737,0.33486,0.00243,0.14155,0.00289,0,0.00543837,0.00543837,0.00543837
