epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.27306,0.72841,1.11272,0.10633,0.48081,0.00785,1.11694,0.98695,0.97548,0.98875,0.86093,0.95431,0.94322,0.92979,0.91265,0.46667,0.65706,0.04081,0.19171,0.00546,0,0.0021,0.0021,0.0811
2,13.9055,0.56609,0.76724,0.08126,0.27969,0.00549,0.12148,0.97365,0.95356,0.9751,0.8912,0.94071,0.9213,0.92183,0.91414,0.40934,0.52781,0.04207,0.19222,0.00469,0,0.00429927,0.00429927,0.0612993
3,19.4008,0.509,0.69876,0.0829,0.25264,0.00534,0.22814,0.96732,0.98065,0.9815,0.8881,0.948,0.941,0.94351,0.91652,0.45428,0.7476,0.04053,0.17417,0.00585,0,0.00649559,0.00649559,0.0414956
4,24.8943,0.53614,0.83465,0.07833,0.22475,0.00547,0.34358,0.98568,0.98065,0.99429,0.86015,0.93282,0.90968,0.90413,0.88317,0.60163,0.81863,0.03413,0.19622,0.00752,0,0.00868672,0.00868672,0.0216867
5,30.4337,0.53208,0.72991,0.07644,0.2517,0.00576,0.05091,0.96526,0.95484,0.97981,0.88211,0.93977,0.90601,0.94143,0.91756,0.47564,0.67886,0.03018,0.21916,0.00576,0,0.00997288,0.00997288,0.00997288
6,36.082,0.532,0.64774,0.07956,0.27196,0.00577,0.09171,0.98583,0.96774,0.99356,0.879,0.9528,0.93548,0.95865,0.95367,0.52465,0.47257,0.03058,0.23408,0.00703,0,0.00995765,0.00995765,0.00995765
7,41.8431,0.54623,0.65456,0.08666,0.25726,0.00573,0.06137,0.8675,0.9871,0.93698,0.82132,0.85041,0.96774,0.91775,0.89289,0.53186,0.45872,0.03874,0.45641,0.00714,0,0.00993906,0.00993906,0.00993906
8,47.3626,0.53021,0.63745,0.07439,0.25838,0.00566,0.08701,0.92033,0.94194,0.97604,0.86057,0.90773,0.92903,0.95792,0.9351,0.50039,0.47616,0.03422,0.39747,0.00696,0,0.00991711,0.00991711,0.00991711
9,52.9354,0.54902,0.686,0.09676,0.25705,0.0057,0.12502,0.97374,0.95701,0.98821,0.85791,0.94093,0.92485,0.92408,0.90691,0.59995,0.65875,0.04056,0.26171,0.00794,0,0.00989183,0.00989183,0.00989183
10,58.6943,0.53841,0.50867,0.0727,0.22945,0.00531,0.04663,0.96069,0.94599,0.98714,0.88688,0.95414,0.93966,0.96462,0.9568,0.49353,0.36804,0.03208,0.23562,0.00517,0,0.00986323,0.00986323,0.00986323
11,64.2143,0.53572,0.51652,0.07792,0.22033,0.00562,0.05508,0.96582,0.92258,0.98608,0.84704,0.96585,0.91244,0.95725,0.93778,0.55806,0.50142,0.02968,0.30377,0.0069,0,0.00983133,0.00983133,0.00983133
12,69.9695,0.52984,0.59289,0.07465,0.25179,0.00549,0.05948,0.96718,0.95053,0.98166,0.8876,0.92801,0.91487,0.94574,0.90799,0.46037,0.67694,0.04077,0.26397,0.00537,0,0.00979616,0.00979616,0.00979616
13,75.6412,0.54362,0.65252,0.08814,0.24998,0.00583,0.28727,0.96345,0.88387,0.93874,0.78743,0.89542,0.82859,0.85962,0.84169,0.69397,0.8884,0.04221,0.48134,0.00998,0,0.00975773,0.00975773,0.00975773
14,81.2417,0.59984,0.71129,0.07715,0.24769,0.00664,0.12957,0.94061,0.95484,0.97806,0.864,0.94176,0.94839,0.9636,0.93815,0.5189,0.52191,0.03682,0.25746,0.00661,0,0.00971608,0.00971608,0.00971608
15,86.776,0.57788,0.68139,0.08524,0.27738,0.00593,0.09776,0.91602,0.97419,0.98208,0.90506,0.89936,0.95484,0.94622,0.93901,0.43014,0.405,0.03703,0.2389,0.00504,0,0.00967122,0.00967122,0.00967122
16,92.3734,0.53034,0.51131,0.08429,0.28025,0.00565,0.02931,0.97332,0.94131,0.98939,0.87111,0.97931,0.91612,0.97473,0.93762,0.53494,0.48976,0.04528,0.2483,0.00694,0,0.0096232,0.0096232,0.0096232
17,97.9543,0.51508,0.53509,0.0765,0.22008,0.00531,0.13065,0.95595,0.98013,0.98896,0.88784,0.95595,0.98013,0.97918,0.95903,0.45124,0.39046,0.04903,0.20927,0.00594,0,0.00957205,0.00957205,0.00957205
18,103.47,0.54326,0.54937,0.0865,0.23845,0.00578,0.05417,0.97688,0.98065,0.99194,0.8865,0.97046,0.97419,0.97793,0.92984,0.46173,0.48251,0.04913,0.21186,0.00568,0,0.0095178,0.0095178,0.0095178
19,108.718,0.51603,0.48496,0.0902,0.25914,0.00522,0,0.98041,0.96854,0.98904,0.86812,0.97862,0.97419,0.9744,0.95853,0.56609,0.38621,0.04597,0.23654,0.0069,0,0.00946048,0.00946048,0.00946048
20,114.103,0.51729,0.47091,0.08718,0.25976,0.00553,0.04818,0.97948,0.94839,0.99038,0.88931,0.97948,0.94839,0.97865,0.95531,0.43325,0.38984,0.04216,0.22251,0.00518,0,0.00940014,0.00940014,0.00940014
21,119.397,0.52747,0.65572,0.09156,0.24741,0.00554,0.16053,0.98644,0.93873,0.99218,0.90308,0.94275,0.96774,0.97405,0.9445,0.4645,0.45758,0.04188,0.1831,0.00577,0,0.00933683,0.00933683,0.00933683
22,124.817,0.51801,0.49974,0.09252,0.25936,0.00537,0.07971,0.95565,0.97319,0.99151,0.9034,0.93665,0.95383,0.97381,0.94247,0.42438,0.45859,0.04986,0.211,0.00512,0,0.00927057,0.00927057,0.00927057
23,130.176,0.56432,0.74161,0.09274,0.26686,0.00578,0.25712,0.95847,0.96129,0.98775,0.84563,0.92826,0.92903,0.94271,0.88615,0.59076,0.85731,0.04584,0.25969,0.00753,0,0.00920142,0.00920142,0.00920142
24,135.49,0.56194,0.60519,0.0926,0.26531,0.00577,0.25403,0.97313,0.9345,0.98303,0.88265,0.95299,0.91561,0.94988,0.92625,0.49876,0.50111,0.0438,0.2445,0.00605,0,0.00912942,0.00912942,0.00912942
25,140.87,0.54364,0.5456,0.09007,0.25925,0.00583,0.0283,0.95197,0.97419,0.98971,0.88416,0.93936,0.96129,0.97009,0.95852,0.47569,0.34447,0.03855,0.23475,0.00579,0,0.00905463,0.00905463,0.00905463
26,146.242,0.53418,0.62001,0.08185,0.24888,0.00548,0.07182,0.98579,0.96129,0.99058,0.90045,0.9592,0.93548,0.96394,0.94844,0.44964,0.42784,0.03665,0.22384,0.00508,0,0.0089771,0.0089771,0.0089771
27,151.57,0.52832,0.43443,0.08264,0.24572,0.00552,0.11444,0.95508,0.96026,0.98695,0.87918,0.93585,0.94194,0.95625,0.94364,0.51147,0.39575,0.03396,0.26101,0.00626,0,0.00889687,0.00889687,0.00889687
28,156.916,0.53108,0.47005,0.08299,0.24495,0.00552,0.0111,0.97345,0.94606,0.98985,0.89929,0.94868,0.95403,0.96226,0.95287,0.45097,0.41079,0.03283,0.19782,0.00526,0,0.00881401,0.00881401,0.00881401
29,162.253,0.5331,0.45038,0.08638,0.24809,0.00575,0.04636,0.96822,0.98282,0.99285,0.91819,0.95524,0.96375,0.97961,0.96103,0.38924,0.33406,0.03762,0.19656,0.0046,0,0.00872857,0.00872857,0.00872857
30,167.532,0.50806,0.36719,0.08165,0.22396,0.00512,0,0.96186,0.97632,0.99251,0.90107,0.95551,0.97004,0.98053,0.96963,0.43342,0.29405,0.03261,0.20772,0.00517,0,0.0086406,0.0086406,0.0086406
31,172.79,0.52584,0.36178,0.07836,0.24155,0.00548,0,0.96743,0.95823,0.98987,0.9087,0.96743,0.95823,0.98064,0.97043,0.41423,0.2267,0.03607,0.22575,0.00521,0,0.00855018,0.00855018,0.00855018
32,178.103,0.49363,0.3971,0.07791,0.24905,0.00526,0,0.96607,0.95484,0.98882,0.92303,0.95249,0.94194,0.9654,0.95733,0.38356,0.32394,0.0296,0.19212,0.00418,0,0.00845736,0.00845736,0.00845736
33,183.411,0.49373,0.49334,0.07775,0.23874,0.00473,0.00274,0.95005,0.98065,0.98993,0.89931,0.9313,0.96129,0.9652,0.95635,0.43343,0.38146,0.0283,0.21232,0.00456,0,0.0083622,0.0083622,0.0083622
34,188.839,0.4854,0.38288,0.06898,0.22905,0.00509,0,0.9743,0.97841,0.99129,0.90203,0.96145,0.9655,0.96861,0.96391,0.42302,0.26002,0.02833,0.2102,0.00502,0,0.00826477,0.00826477,0.00826477
35,194.134,0.51623,0.54845,0.07928,0.25709,0.00526,0.00201,0.9437,0.97337,0.9897,0.88586,0.96591,0.91411,0.97183,0.95775,0.47337,0.3153,0.02921,0.23045,0.00552,0,0.00816514,0.00816514,0.00816514
36,199.479,0.51815,0.41133,0.07528,0.22242,0.00534,0.00081,0.97984,0.97419,0.99277,0.90227,0.97984,0.97419,0.98022,0.97459,0.419,0.22822,0.02837,0.19173,0.00457,0,0.00806337,0.00806337,0.00806337
37,204.769,0.49781,0.35074,0.06722,0.23627,0.00505,0.02966,0.98398,0.97419,0.99335,0.90681,0.97734,0.96774,0.98272,0.9684,0.43067,0.23377,0.02717,0.17822,0.00511,0,0.00795954,0.00795954,0.00795954
38,210.093,0.49984,0.40857,0.07052,0.25668,0.00532,0.00964,0.97219,0.9871,0.99251,0.89021,0.96583,0.98065,0.98121,0.96752,0.46638,0.22355,0.02509,0.19934,0.00609,0,0.00785371,0.00785371,0.00785371
39,215.415,0.49313,0.40744,0.06431,0.21768,0.00519,0,0.95593,0.97967,0.99037,0.92521,0.95626,0.95484,0.977,0.97033,0.36904,0.29086,0.02456,0.20987,0.00423,0,0.00774596,0.00774596,0.00774596
40,220.858,0.47062,0.36207,0.07947,0.225,0.00457,0,0.98026,0.94194,0.98952,0.90522,0.96669,0.92903,0.97411,0.97191,0.41986,0.33413,0.02502,0.23705,0.00494,0,0.00763637,0.00763637,0.00763637
41,226.219,0.46103,0.3588,0.07156,0.23086,0.00473,0,0.98706,0.98444,0.99373,0.91853,0.98024,0.95995,0.97556,0.97046,0.3876,0.32476,0.02771,0.16707,0.0045,0,0.007525,0.007525,0.007525
42,231.551,0.47367,0.40082,0.07055,0.23937,0.00499,0,0.96989,0.97419,0.99058,0.92068,0.96989,0.97419,0.9736,0.96917,0.37838,0.28653,0.02955,0.17837,0.00429,0,0.00741194,0.00741194,0.00741194
43,236.874,0.48172,0.35736,0.071,0.20223,0.00461,0,0.96789,0.97247,0.99214,0.91212,0.96147,0.96602,0.97526,0.97128,0.40178,0.19755,0.02383,0.20524,0.00444,0,0.00729725,0.00729725,0.00729725
44,242.269,0.47218,0.4514,0.08083,0.19913,0.00495,0,0.974,0.96691,0.99211,0.9149,0.96366,0.95484,0.97282,0.96802,0.41502,0.192,0.02571,0.20301,0.0046,0,0.00718103,0.00718103,0.00718103
45,247.54,0.45464,0.31455,0.06341,0.20112,0.00445,0,0.98684,0.96756,0.99125,0.90215,0.97391,0.97419,0.9723,0.96785,0.43271,0.27168,0.02773,0.17745,0.00477,0,0.00706335,0.00706335,0.00706335
46,252.906,0.47905,0.34399,0.06465,0.21192,0.00464,0,0.98907,0.98065,0.99341,0.9074,0.97524,0.96774,0.98016,0.97596,0.42681,0.18734,0.02667,0.20669,0.00552,0,0.00694428,0.00694428,0.00694428
47,258.159,0.4654,0.35085,0.07311,0.21327,0.00467,0,0.98367,0.9871,0.99382,0.94277,0.97081,0.97419,0.97466,0.97062,0.33314,0.26347,0.02491,0.17388,0.00347,0,0.00682392,0.00682392,0.00682392
48,263.527,0.45429,0.38497,0.06321,0.20809,0.00445,0,0.98711,0.98819,0.99487,0.92181,0.96779,0.96911,0.97396,0.97289,0.40649,0.27359,0.03078,0.19476,0.00453,0,0.00670234,0.00670234,0.00670234
49,268.871,0.46075,0.29838,0.07193,0.21631,0.00472,0,0.98618,0.96774,0.99337,0.93072,0.97347,0.94692,0.97681,0.97575,0.37856,0.31426,0.0244,0.16089,0.00435,0,0.00657963,0.00657963,0.00657963
50,274.256,0.44262,0.30862,0.06656,0.20327,0.0044,0,0.96394,0.98065,0.99321,0.93143,0.97328,0.94011,0.9791,0.97784,0.37324,0.31776,0.02236,0.18189,0.00406,0,0.00645588,0.00645588,0.00645588
51,279.573,0.43764,0.34021,0.05402,0.20453,0.00418,0,0.98648,0.94181,0.99045,0.93305,0.95404,0.93738,0.97525,0.97087,0.3691,0.30622,0.02282,0.19865,0.00397,0,0.00633115,0.00633115,0.00633115
