epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.15189,0.61907,1.19228,0.08289,0.23943,0.00945,1.45697,0.9976,0.9798,0.99473,0.88491,0.9976,0.9798,0.99473,0.96607,0.56479,0.27444,0.00112,0.20228,0.00648,0,0.0004,0.0004,0.0964
2,5.57042,0.67015,1.30572,0.10474,0.26096,0.00974,1.42354,0.99653,0.98653,0.9948,0.89897,0.99653,0.98653,0.9948,0.97657,0.47568,0.20121,0.0012,0.17739,0.0049,0,0.000898627,0.000898627,0.0918986
3,7.84466,0.48965,0.91916,0.08276,0.28699,0.00704,0.85629,0.99919,0.98653,0.99464,0.92014,0.99919,0.98653,0.99464,0.97571,0.39571,0.21926,0.00129,0.15643,0.00305,0,0.00139147,0.00139147,0.0873915
4,10.0776,0.46516,0.91379,0.09068,0.18992,0.00582,0.44626,0.99863,0.98653,0.99449,0.89414,0.99863,0.98653,0.99449,0.97427,0.49,0.2315,0.00134,0.18291,0.00346,0,0.00187401,0.00187401,0.082874
5,12.354,0.46139,1.24572,0.16782,0.21888,0.00568,1.20293,0.99639,0.98653,0.99439,0.9072,0.99639,0.98653,0.99439,0.97009,0.46821,0.28972,0.00152,0.17404,0.0036,0,0.00234186,0.00234186,0.0783419
6,14.5799,0.40887,0.48287,0.06987,0.24869,0.00534,1.01253,0.99653,0.96572,0.99377,0.8875,0.99653,0.96572,0.99377,0.96535,0.51985,0.32305,0.00165,0.20087,0.00384,0,0.00279073,0.00279073,0.0737907
7,16.815,0.87738,0.38975,0.08639,0.28054,0.00966,0.24676,0.99256,0.97643,0.99424,0.76412,0.99256,0.97643,0.99424,0.96647,1.00961,0.30503,0.0016,0.33,0.00683,0,0.00321656,0.00321656,0.0692166
8,19.136,0.74016,0.29897,0.05713,0.25029,0.00848,0.0099,0.99654,0.96937,0.99411,0.85819,0.99654,0.96937,0.99411,0.96659,0.66918,0.29087,0.00179,0.23493,0.00537,0,0.00361552,0.00361552,0.0646155
9,21.3955,0.69192,0.7424,0.07234,0.23423,0.00791,0.71335,0.9857,0.97643,0.99427,0.81158,0.9857,0.97643,0.99427,0.96796,0.86036,0.30973,0.00259,0.28539,0.00639,0,0.00398404,0.00398404,0.059984
10,23.6949,0.48849,0.57805,0.04804,0.16173,0.00621,0.21129,0.98535,0.97643,0.99357,0.73716,0.98535,0.97643,0.99357,0.96156,1.08678,0.31695,0.00256,0.35605,0.00797,0,0.00431886,0.00431886,0.0553189
