epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61845,0.60064,4.40735,0.20174,0.24382,0.00502,8.00386,0.9932,0.98404,0.99467,0.90792,0.9932,0.98404,0.99467,0.97799,0.42482,0.22236,0.00302,0.16801,0.00344,0,0.0016,0.0016,0.0856
2,13.647,0.47289,4.30312,0.20279,0.19912,0.00343,6.76462,1,0.98658,0.99474,0.91369,1,0.98658,0.99474,0.85992,0.42429,0.56288,0.00465,0.14939,0.00338,0,0.00329496,0.00329496,0.070295
3,18.5209,0.44765,3.63269,0.13254,0.19377,0.0032,5.27209,0.99904,0.99327,0.995,0.91202,0.99904,0.99327,0.995,0.81122,0.43296,0.6964,0.00825,0.13475,0.00324,0,0.00496953,0.00496953,0.0549695
4,23.4099,0.44114,3.27362,0.13453,0.18047,0.00343,4.73123,1,0.98963,0.99497,0.91579,1,0.9884,0.9949,0.74221,0.39953,0.93731,0.0075,0.1295,0.00311,0,0.00660836,0.00660836,0.0396084
5,28.2466,0.47475,3.33315,0.16807,0.18835,0.00411,4.56006,1,0.99297,0.995,0.89904,1,0.98938,0.99493,0.58195,0.46726,1.51845,0.00969,0.14034,0.00453,0,0.00819649,0.00819649,0.0241965
6,32.9712,0.48735,3.20068,0.13136,0.17845,0.00416,4.22699,0.99566,0.9899,0.99473,0.89918,0.87073,0.86532,0.86069,0.50225,0.4903,2.00251,0.01553,0.16924,0.00434,0,0.0096232,0.0096232,0.0096232
7,37.7578,0.51426,2.57732,0.16126,0.23317,0.00426,3.2039,0.94632,0.9697,0.98611,0.88141,0.80438,0.63636,0.67993,0.43299,0.53774,3.21266,0.04277,0.24438,0.00465,0,0.00946048,0.00946048,0.00946048
8,42.6179,0.49528,2.24246,0.13856,0.22785,0.00428,2.5269,0.99835,0.98653,0.99477,0.87574,0.34174,0.32997,0.2097,0.16856,0.54509,5.36962,0.05316,0.2,0.00452,0,0.00927057,0.00927057,0.00927057
9,47.3336,0.54301,1.90115,0.12046,0.20898,0.00531,1.82577,0.98958,0.95893,0.99349,0.87303,0.42536,0.3165,0.32246,0.228,0.55544,5.24315,0.05375,0.20689,0.00513,0,0.00905463,0.00905463,0.00905463
10,52.0359,0.5064,1.74083,0.12223,0.21438,0.0045,1.37102,0.99985,0.99663,0.995,0.91544,0.458,0.44108,0.36376,0.27115,0.42073,4.50913,0.06102,0.13841,0.00341,0,0.00881401,0.00881401,0.00881401
11,56.7454,0.5273,1.59331,0.12815,0.19723,0.00451,0.89283,0.97591,0.95467,0.98992,0.88237,0.78322,0.6229,0.61619,0.57254,0.54495,3.13392,0.10242,0.22523,0.00459,0,0.00855018,0.00855018,0.00855018
12,61.4779,0.50731,1.44126,0.13131,0.21311,0.00455,0.67245,0.9624,0.97306,0.99003,0.87765,0.77336,0.56902,0.56616,0.50924,0.56298,3.76349,0.14798,0.23718,0.00485,0,0.00826477,0.00826477,0.00826477
13,66.2828,0.49991,1.33967,0.13604,0.21809,0.00468,0.54942,0.97553,0.97306,0.99261,0.89594,0.54809,0.38047,0.38893,0.2815,0.49992,5.28906,0.06927,0.22083,0.00427,0,0.00795954,0.00795954,0.00795954
14,71.0697,0.48757,1.28297,0.11938,0.20643,0.00414,0.37703,0.94402,0.95286,0.98626,0.89755,0.71188,0.45791,0.50735,0.43787,0.45899,3.89385,0.07612,0.24002,0.00329,0,0.00763637,0.00763637,0.00763637
15,75.7548,0.50273,1.1186,0.11701,0.21087,0.00419,0.25673,0.97976,0.97816,0.99407,0.88781,0.12495,0.13468,0.09024,0.08028,0.51648,7.6812,0.05076,0.19453,0.00364,0,0.00729725,0.00729725,0.00729725
16,80.5819,0.47119,1.09465,0.10311,0.20293,0.00383,0.24803,0.98163,0.99327,0.99425,0.89324,0.34646,0.34807,0.29716,0.27774,0.47401,5.90358,0.02623,0.17944,0.00382,0,0.00694428,0.00694428,0.00694428
17,85.2907,0.49299,1.08435,0.10618,0.21973,0.00399,0.14435,0.98631,0.99327,0.9948,0.87932,0.35624,0.19529,0.14204,0.12612,0.51287,7.03283,0.02352,0.18686,0.00413,0,0.00657963,0.00657963,0.00657963
18,90.01,0.483,1.0654,0.09273,0.19866,0.00383,0.15507,0.99613,0.99663,0.995,0.88257,0.37788,0.29966,0.26193,0.25671,0.51888,6.03807,0.02409,0.1806,0.00422,0,0.00620555,0.00620555,0.00620555
19,94.8043,0.47892,1.0998,0.09787,0.19546,0.00384,0.21368,0.98832,0.9798,0.99415,0.82946,0.44077,0.43771,0.30313,0.23145,0.70081,4.72155,0.02514,0.24336,0.00597,0,0.00582435,0.00582435,0.00582435
20,99.4791,0.46816,0.9456,0.09852,0.21137,0.00361,0.18757,0.99637,0.99663,0.995,0.86541,0.57999,0.58249,0.42157,0.37652,0.62316,3.75941,0.04212,0.19551,0.00573,0,0.00543837,0.00543837,0.00543837
21,104.182,0.4718,0.89363,0.08464,0.19463,0.00398,0.14672,0.99661,0.98878,0.99487,0.88545,0.59899,0.49158,0.35948,0.22476,0.5327,4.70463,0.02569,0.17587,0.00408,0,0.00505,0.00505,0.00505
22,108.855,0.47261,0.85288,0.09861,0.19342,0.00354,0.01259,0.97466,0.96296,0.99159,0.89603,0.70466,0.61616,0.48053,0.45159,0.45293,3.29724,0.01863,0.25378,0.00388,0,0.00466163,0.00466163,0.00466163
23,113.621,0.46082,1.07728,0.10618,0.1964,0.00359,0.14413,0.97332,0.9899,0.99284,0.8285,0.18489,0.18519,0.04042,0.02653,0.64288,7.64114,0.01606,0.22739,0.00505,0,0.00427565,0.00427565,0.00427565
24,118.471,0.48996,1.24175,0.12041,0.2394,0.00366,0.15385,0.96014,0.96296,0.98931,0.89372,0.44593,0.37374,0.26198,0.20001,0.45771,5.35608,0.01647,0.24761,0.00378,0,0.00389445,0.00389445,0.00389445
25,123.236,0.46332,0.71761,0.09586,0.21616,0.00338,0.0068,0.94647,0.95254,0.98699,0.90407,0.60253,0.48822,0.30849,0.25562,0.46076,4.51957,0.01598,0.30295,0.00348,0,0.00352037,0.00352037,0.00352037
26,128.034,0.42316,0.74767,0.08299,0.18162,0.00332,0,0.9477,0.97617,0.99106,0.89664,0.60881,0.48732,0.31278,0.29433,0.48074,4.40879,0.01014,0.22289,0.00336,0,0.00315572,0.00315572,0.00315572
27,132.89,0.45713,0.72467,0.08177,0.20219,0.00355,0.00852,1,0.98944,0.9949,0.90421,0.50836,0.50505,0.26247,0.25523,0.44351,4.35867,0.00986,0.16566,0.00348,0,0.00280275,0.00280275,0.00280275
28,137.713,0.44754,0.75374,0.08836,0.21329,0.00329,0.00182,0.99956,0.98653,0.99477,0.89456,0.5041,0.49832,0.25502,0.24226,0.48632,4.36843,0.00953,0.16135,0.00431,0,0.00246363,0.00246363,0.00246363
29,142.312,0.43644,0.83321,0.08155,0.18268,0.00319,0,0.98641,0.9774,0.99426,0.89715,0.46667,0.47138,0.26253,0.24906,0.47848,4.70346,0.00881,0.16973,0.00405,0,0.00214046,0.00214046,0.00214046
30,146.985,0.39805,0.59624,0.08196,0.18231,0.00287,0,0.97228,0.9899,0.99363,0.90058,0.47046,0.47138,0.28304,0.24522,0.44823,4.73536,0.00967,0.1665,0.00359,0,0.00183523,0.00183523,0.00183523
