epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1025,0.58852,0.75977,0.09499,0.33605,0.00613,0.10753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,42.6712,0.47958,0.59647,0.0703,0.22227,0.00463,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,63.337,0.45131,0.55178,0.07326,0.20518,0.00429,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,84.1017,0.42423,0.50637,0.06926,0.19414,0.00392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,104.631,0.41856,0.48999,0.06706,0.1907,0.00374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,125.361,0.40299,0.46968,0.06136,0.18593,0.00362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,145.923,0.39581,0.43482,0.0588,0.17827,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,167.274,0.32783,0.26947,0.0328,0.13975,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,187.421,0.32021,0.27524,0.03753,0.13526,0.00297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,216.194,0.30677,0.25983,0.03352,0.12905,0.00277,0,0.99167,0.98333,0.99457,0.96246,0.98326,0.975,0.98924,0.97568,0.2902,0.20361,0.02864,0.12957,0.00279,0,6.8454e-05,6.8454e-05,6.8454e-05
