epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2881,0.8327,1.71366,0.12972,0.69016,0.00742,0.66877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,41.3673,0.74794,1.44459,0.11667,0.53108,0.00642,0.22212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,61.413,0.72504,1.41137,0.12242,0.47958,0.0061,0.11886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,81.2217,0.69251,1.24695,0.10602,0.46095,0.00584,0.10478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,101.078,0.6783,1.24122,0.1113,0.44129,0.00561,0.08671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,121.009,0.67945,1.25545,0.10764,0.43765,0.00566,0.09119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,140.819,0.6553,1.17311,0.10567,0.41676,0.0053,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,161.565,0.59961,0.99546,0.07547,0.37421,0.00481,0.01049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,181.107,0.5953,0.95613,0.07402,0.36494,0.00479,0.00626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,209.357,0.57677,0.9489,0.07147,0.3619,0.00463,0,0.9403,0.89826,0.96174,0.85798,0.92351,0.8594,0.9139,0.83058,0.57988,0.88251,0.06197,0.38533,0.00475,0,6.8454e-05,6.8454e-05,6.8454e-05
