epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8362,0.59273,0.76735,0.0955,0.32434,0.00605,0.11283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,41.9903,0.46616,0.64786,0.071,0.2214,0.00456,0.01504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,62.2026,0.44061,0.59553,0.07264,0.20241,0.00422,0.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,82.396,0.41882,0.57998,0.06592,0.19669,0.00394,0.00544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,102.546,0.40831,0.52046,0.06475,0.18904,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,122.757,0.39566,0.53746,0.06152,0.19018,0.00353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,143.02,0.38783,0.50347,0.06009,0.1779,0.00356,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,164.047,0.32789,0.28062,0.0323,0.14153,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,183.87,0.31865,0.2687,0.03121,0.14146,0.00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,211.766,0.31031,0.25755,0.03337,0.13713,0.00282,0,0.9899,0.98194,0.99441,0.96267,0.98228,0.97431,0.98993,0.97908,0.28419,0.19241,0.02555,0.13141,0.00274,0,6.8454e-05,6.8454e-05,6.8454e-05
