epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3641,0.59394,0.72336,0.08717,0.32061,0.00593,0.11031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,41.49,0.46946,0.57526,0.06832,0.21665,0.00448,0.00235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,61.6547,0.43971,0.51638,0.07137,0.19594,0.00416,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,81.7659,0.41788,0.49581,0.06449,0.18987,0.00383,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,102.133,0.41006,0.45682,0.06299,0.18642,0.00369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,122.543,0.40649,0.4256,0.05923,0.18446,0.00356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,142.779,0.39061,0.48266,0.05956,0.17387,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,163.758,0.3276,0.32707,0.03289,0.13492,0.00292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,183.569,0.31486,0.29431,0.03352,0.13206,0.00288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,211.199,0.30793,0.27707,0.03179,0.13128,0.00276,0,0.98915,0.98101,0.99441,0.96351,0.97619,0.96816,0.97465,0.96498,0.28625,0.26103,0.0249,0.12421,0.00266,0,6.8454e-05,6.8454e-05,6.8454e-05
