epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9942,0.58547,0.73833,0.08715,0.31555,0.00582,0.10639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,41.0309,0.46083,0.60687,0.06663,0.2217,0.00431,0.00377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,61.2068,0.44312,0.55679,0.07075,0.19501,0.00418,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,81.237,0.41787,0.45828,0.06494,0.19804,0.00388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,101.283,0.41106,0.48099,0.06219,0.18375,0.00367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,121.516,0.39869,0.45196,0.06275,0.18758,0.00355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,141.78,0.38953,0.4386,0.05812,0.17754,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,162.887,0.32969,0.27643,0.03336,0.13842,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,182.794,0.31396,0.27224,0.03527,0.13585,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,210.201,0.30826,0.26807,0.03506,0.13009,0.00276,0,0.98819,0.98958,0.99461,0.96201,0.97813,0.97951,0.97997,0.97019,0.29218,0.23019,0.02856,0.12315,0.00269,0,6.8454e-05,6.8454e-05,6.8454e-05
