epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8618,0.59156,0.70605,0.08521,0.31777,0.00581,0.06585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,40.7396,0.47017,0.50612,0.06521,0.21982,0.00428,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,60.7058,0.43858,0.42495,0.06785,0.19437,0.00408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,80.8389,0.41955,0.43312,0.05922,0.19829,0.00381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,100.796,0.40947,0.41196,0.06172,0.18579,0.00362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,120.989,0.39289,0.38773,0.06008,0.18268,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,141.141,0.38365,0.37123,0.06201,0.17715,0.00336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,161.984,0.32739,0.23168,0.03702,0.13816,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,181.904,0.31069,0.2238,0.03484,0.13641,0.00275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,209.521,0.30517,0.21761,0.03529,0.13515,0.00268,0,0.97568,0.98917,0.99423,0.96292,0.9702,0.98361,0.99081,0.98016,0.28913,0.16745,0.02467,0.13098,0.00266,0,6.8454e-05,6.8454e-05,6.8454e-05
