epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6107,0.51249,0.53073,0.06257,0.2401,0.00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,43.4132,0.42778,0.44948,0.05299,0.19748,0.00387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,66.2219,0.40409,0.43255,0.05492,0.18976,0.00361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,89.0274,0.40587,0.38913,0.05125,0.18727,0.00351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,110.367,0.37969,0.35229,0.0511,0.17939,0.00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,133.303,0.3728,0.35109,0.04788,0.17625,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,155.957,0.36037,0.33532,0.04874,0.16914,0.00315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,178.614,0.30584,0.22699,0.02367,0.12983,0.00263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,201.351,0.29868,0.20026,0.02253,0.13423,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,233.53,0.28987,0.20966,0.02273,0.12609,0.00248,0,0.98675,0.98247,0.99439,0.96648,0.97873,0.97449,0.98881,0.97893,0.26792,0.17596,0.01564,0.1193,0.0024,0,6.8454e-05,6.8454e-05,6.8454e-05
