epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1362,0.58692,0.67549,0.08665,0.31064,0.00566,0.05711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,42.5013,0.46833,0.51733,0.06577,0.2181,0.00433,0.00938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,62.6749,0.44026,0.43713,0.06801,0.19852,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,82.7502,0.41675,0.42116,0.06095,0.19768,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,103.049,0.40469,0.39342,0.05926,0.17506,0.00351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,123.358,0.39165,0.39395,0.05975,0.17817,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,143.512,0.37931,0.36033,0.0569,0.16889,0.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,164.423,0.3229,0.22234,0.0301,0.14152,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,184.389,0.3138,0.20843,0.03002,0.13376,0.00278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,212.19,0.30283,0.19352,0.0322,0.13231,0.00262,0,0.98146,0.97417,0.99399,0.96374,0.97656,0.96931,0.98959,0.98079,0.28007,0.1663,0.02464,0.13137,0.00259,0,6.8454e-05,6.8454e-05,6.8454e-05
