epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3194,0.60527,0.7128,0.0862,0.33948,0.00598,0.06932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,41.5564,0.47401,0.49708,0.06884,0.22536,0.00437,0.00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,61.844,0.44092,0.44133,0.06695,0.2061,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,81.9183,0.41182,0.39483,0.06143,0.19641,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,102.001,0.40771,0.42107,0.06194,0.18043,0.0037,0.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,122.229,0.39163,0.38452,0.05812,0.18579,0.00349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,142.5,0.38778,0.37141,0.06062,0.17877,0.00345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,163.618,0.32303,0.22643,0.03483,0.14296,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,183.358,0.3124,0.22472,0.0337,0.13165,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,211.185,0.30307,0.20858,0.03378,0.13111,0.00268,0,0.97221,0.98384,0.99394,0.96259,0.96569,0.97724,0.98934,0.98036,0.28304,0.1712,0.02746,0.13644,0.00267,0,6.8454e-05,6.8454e-05,6.8454e-05
