epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6127,0.50837,0.53652,0.10881,0.25376,0.00458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,43.7426,0.42327,0.4506,0.08392,0.20662,0.00377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,64.9278,0.42103,0.41635,0.08413,0.19852,0.00384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,86.1008,0.39575,0.39298,0.07568,0.17892,0.00351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,107.263,0.39149,0.38037,0.07435,0.18653,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,128.554,0.38301,0.36862,0.07302,0.17686,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,149.675,0.36887,0.33415,0.07358,0.16918,0.00326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,171.896,0.30933,0.22795,0.05006,0.12807,0.00276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,192.793,0.2942,0.21763,0.04696,0.12518,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,222.74,0.28753,0.21291,0.04805,0.1217,0.00255,0,0.98887,0.98685,0.99448,0.96588,0.97981,0.97746,0.98879,0.9776,0.26514,0.17198,0.03813,0.1178,0.00245,0,6.8454e-05,6.8454e-05,6.8454e-05
