epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7751,0.45886,0.35421,0.08973,0.19245,0.00323,0,0.98351,0.99355,0.99474,0.88186,0.93869,0.94839,0.9176,0.9129,0.5243,0.18491,0.00256,0.18332,0.00365,0,0.00328283,0.00328283,0.0704545
2,34.2555,0.46842,0.37318,0.0882,0.19238,0.00354,0.10776,0.99356,0.99544,0.99494,0.93628,0.93462,0.92232,0.89661,0.8872,0.35792,0.14186,0.00459,0.11904,0.00272,0,0.00660607,0.00660607,0.0404444
3,49.3834,0.49333,0.39983,0.06764,0.20309,0.00374,0,0.98067,0.9818,0.99286,0.87799,0.77536,0.77941,0.64926,0.6172,0.5311,0.43396,0.00729,0.20533,0.00478,0,0.00988886,0.00988886,0.0103939
4,64.4195,0.60694,0.64853,0.07614,0.32166,0.00504,0.03199,0.97999,0.94797,0.9883,0.82235,0.41358,0.4,0.21724,0.18024,0.68941,0.58276,0.01562,0.31066,0.00753,0,0.00986323,0.00986323,0.00986323
5,79.5085,0.62273,0.50711,0.0799,0.30163,0.00514,0,0.9934,0.97137,0.99257,0.89214,0.40821,0.3871,0.2128,0.20602,0.4764,0.20379,0.00847,0.21755,0.00388,0,0.00975773,0.00975773,0.00975773
6,94.5411,0.56606,0.37836,0.06722,0.24424,0.00447,0,0.99344,0.9765,0.99468,0.89721,0.38439,0.39355,0.23195,0.22182,0.44969,0.24273,0.00897,0.15403,0.00423,0,0.0096232,0.0096232,0.0096232
7,109.668,0.52623,0.30206,0.05725,0.21764,0.00412,0,0.99229,0.9871,0.99481,0.89446,0.39443,0.3992,0.19322,0.1863,0.46669,0.22337,0.00409,0.16277,0.00449,0,0.00946048,0.00946048,0.00946048
8,124.701,0.50693,0.32338,0.05131,0.21235,0.00405,0,0.97355,0.9871,0.9941,0.91348,0.40069,0.3871,0.17993,0.17736,0.42256,0.16734,0.00426,0.15655,0.0034,0,0.00927057,0.00927057,0.00927057
9,139.789,0.49467,0.29172,0.04687,0.21496,0.00396,0,0.98707,0.98519,0.99443,0.89515,0.42983,0.4,0.20435,0.20136,0.46536,0.12572,0.00368,0.1629,0.00442,0,0.00905463,0.00905463,0.00905463
10,154.785,0.5033,0.27146,0.05363,0.21882,0.00396,0,0.98715,0.99149,0.99468,0.92308,0.39051,0.40645,0.16633,0.16382,0.36752,0.0948,0.00341,0.1374,0.00331,0,0.00881401,0.00881401,0.00881401
11,169.931,0.4929,0.26911,0.05266,0.2114,0.00371,0,0.99345,0.97874,0.99407,0.909,0.40201,0.39355,0.17438,0.16929,0.42734,0.13965,0.00449,0.18988,0.00329,0,0.00855018,0.00855018,0.00855018
12,184.895,0.4653,0.28967,0.04574,0.20889,0.00359,0,0.98096,0.99735,0.99455,0.90024,0.39658,0.39434,0.15906,0.15692,0.4454,0.11899,0.00506,0.16563,0.00436,0,0.00826477,0.00826477,0.00826477
