epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60428,0.4586,0.1164,0.03596,0.17772,0.0029,0,0.99355,0.99324,0.98952,0.90194,0.98709,0.98679,0.98147,0.97456,0.44045,0.07806,0.00137,0.13793,0.00408,0,0.0021,0.0021,0.0811
2,12.5806,0.45476,0.12479,0.04251,0.16984,0.00299,0,0.98074,0.98574,0.98898,0.93701,0.96791,0.97284,0.971,0.96007,0.33793,0.10892,0.00132,0.13792,0.00261,0,0.00429927,0.00429927,0.0612993
3,18.2671,0.45373,0.10815,0.0382,0.17804,0.00291,0,0.98054,0.97525,0.98885,0.92453,0.96108,0.956,0.95498,0.94252,0.36875,0.09847,0.00114,0.14128,0.003,0,0.00649559,0.00649559,0.0414956
4,23.8351,0.4307,0.1449,0.03822,0.15979,0.00294,0,0.98611,0.9871,0.98865,0.91708,0.96677,0.96774,0.95712,0.9423,0.40189,0.09342,0.00179,0.1423,0.00325,0,0.00868672,0.00868672,0.0216867
5,29.4301,0.42209,0.137,0.03743,0.15881,0.00316,0,0.98574,0.99355,0.99461,0.91989,0.96782,0.97419,0.95902,0.94799,0.38346,0.11872,0.0016,0.13328,0.0035,0,0.00997288,0.00997288,0.00997288
6,34.9819,0.40631,0.14742,0.03726,0.16056,0.00323,0,0.98199,0.96774,0.98831,0.90966,0.94908,0.93548,0.93337,0.91252,0.41099,0.17561,0.00182,0.15586,0.00366,0,0.00995765,0.00995765,0.00995765
7,40.6078,0.43206,0.16754,0.04352,0.17535,0.00329,0,0.97922,0.98065,0.99217,0.88961,0.95989,0.96129,0.93751,0.9251,0.48641,0.12681,0.00225,0.16758,0.00415,0,0.00993906,0.00993906,0.00993906
8,46.1726,0.47218,0.20337,0.04182,0.20648,0.0036,0,0.99346,0.98023,0.98958,0.91417,0.96077,0.948,0.9179,0.90468,0.40684,0.10024,0.00182,0.1428,0.00352,0,0.00991711,0.00991711,0.00991711
9,51.7604,0.47013,0.2194,0.04875,0.19665,0.00345,0,0.96827,0.98427,0.98715,0.90398,0.94288,0.95854,0.94052,0.92874,0.43114,0.10465,0.00235,0.15907,0.00327,0,0.00989183,0.00989183,0.00989183
10,57.3279,0.45724,0.18382,0.04747,0.1993,0.00335,0,0.97898,0.98065,0.98819,0.90721,0.9893,0.98065,0.98199,0.96932,0.46064,0.11794,0.00251,0.17135,0.00359,0,0.00986323,0.00986323,0.00986323
11,62.8851,0.44054,0.21059,0.04253,0.18695,0.00319,0,0.96718,0.9871,0.98692,0.92245,0.94814,0.96774,0.94335,0.93138,0.38749,0.11638,0.00209,0.15991,0.00317,0,0.00983133,0.00983133,0.00983133
12,68.5479,0.44848,0.246,0.04508,0.19328,0.00324,0,0.97685,0.97419,0.98774,0.90346,0.94936,0.94839,0.94304,0.91771,0.4469,0.18482,0.00231,0.17894,0.00415,0,0.00979616,0.00979616,0.00979616
13,74.0953,0.46461,0.3111,0.04675,0.20233,0.00347,0,0.95534,0.96609,0.98539,0.91782,0.92983,0.94038,0.92427,0.89468,0.38331,0.19213,0.0021,0.18659,0.00345,0,0.00975773,0.00975773,0.00975773
14,79.6808,0.47975,0.27594,0.04193,0.20626,0.00387,0,0.97774,0.96774,0.9867,0.89233,0.92546,0.91613,0.91397,0.88627,0.44072,0.20987,0.00309,0.19136,0.0041,0,0.00971608,0.00971608,0.00971608
15,85.3205,0.46487,0.29838,0.04901,0.22358,0.00345,0,0.96146,0.98065,0.98612,0.89848,0.91665,0.92239,0.9235,0.90595,0.43959,0.15016,0.00281,0.17819,0.00403,0,0.00967122,0.00967122,0.00967122
16,90.8862,0.48796,0.27699,0.04425,0.22608,0.00391,0,0.98658,0.96129,0.98601,0.92251,0.9317,0.89032,0.88629,0.87509,0.37336,0.14062,0.00203,0.19817,0.00332,0,0.0096232,0.0096232,0.0096232
17,96.4642,0.46257,0.31741,0.04705,0.20335,0.00338,0,0.9743,0.97816,0.98953,0.89232,0.89922,0.86348,0.87547,0.84769,0.46999,0.28241,0.00254,0.18429,0.00415,0,0.00957205,0.00957205,0.00957205
18,102.12,0.47178,0.33948,0.05178,0.20776,0.00355,0,0.98056,0.97626,0.99087,0.91005,0.89635,0.89272,0.85519,0.84872,0.3916,0.15536,0.00215,0.16844,0.00312,0,0.0095178,0.0095178,0.0095178
19,107.719,0.48425,0.34759,0.054,0.22199,0.00391,0,0.96116,0.9871,0.99165,0.87967,0.87636,0.90323,0.87679,0.85785,0.52352,0.25631,0.00422,0.1937,0.00454,0,0.00946048,0.00946048,0.00946048
20,113.26,0.50899,0.30444,0.04515,0.22055,0.00413,0,0.98254,0.96129,0.99044,0.87508,0.89651,0.87742,0.88549,0.84311,0.51998,0.3123,0.00562,0.21588,0.0045,0,0.00940014,0.00940014,0.00940014
21,118.852,0.5059,0.28035,0.04348,0.21531,0.00381,0,0.98985,0.96129,0.99155,0.92252,0.901,0.88073,0.84662,0.82963,0.40817,0.22837,0.00432,0.15338,0.00334,0,0.00933683,0.00933683,0.00933683
22,124.433,0.46322,0.27555,0.04954,0.21542,0.00364,0,0.96961,0.98065,0.99228,0.92,0.88022,0.89032,0.85511,0.84115,0.39788,0.2137,0.00285,0.15966,0.00347,0,0.00927057,0.00927057,0.00927057
23,130.045,0.4709,0.28634,0.04715,0.20547,0.00369,0,0.98681,0.965,0.99247,0.90608,0.9139,0.89025,0.89323,0.88031,0.45001,0.24359,0.00584,0.16902,0.00409,0,0.00920142,0.00920142,0.00920142
24,135.7,0.51683,0.4262,0.05204,0.22542,0.00359,0,0.96869,0.98065,0.99142,0.91611,0.88393,0.90323,0.87887,0.8578,0.41659,0.25852,0.00381,0.16526,0.00349,0,0.00912942,0.00912942,0.00912942
25,141.313,0.46865,0.45174,0.05035,0.20365,0.00365,0,0.98696,0.97638,0.99326,0.89648,0.90279,0.89032,0.86919,0.85862,0.45292,0.19436,0.00432,0.18471,0.00351,0,0.00905463,0.00905463,0.00905463
26,146.905,0.50352,0.31523,0.04558,0.21529,0.00379,0,0.98039,0.97419,0.98864,0.89042,0.92583,0.88593,0.8664,0.84615,0.47771,0.18886,0.00383,0.16929,0.00355,0,0.0089771,0.0089771,0.0089771
27,152.478,0.45553,0.34545,0.04947,0.19879,0.00352,0,0.97228,0.96129,0.98703,0.87488,0.89375,0.88387,0.84503,0.80687,0.5226,0.34116,0.00564,0.22408,0.0042,0,0.00889687,0.00889687,0.00889687
28,158.056,0.50912,0.35774,0.05471,0.2264,0.00383,0,0.97157,0.97419,0.99065,0.88868,0.913,0.91613,0.88679,0.86893,0.48017,0.24654,0.00487,0.17612,0.00351,0,0.00881401,0.00881401,0.00881401
29,163.639,0.51713,0.33057,0.05792,0.23008,0.00381,0,0.97413,0.97186,0.99074,0.91749,0.90947,0.90743,0.89583,0.88764,0.38613,0.13068,0.00526,0.18454,0.00303,0,0.00872857,0.00872857,0.00872857
30,169.25,0.50637,0.31398,0.04848,0.2035,0.00356,0,0.9934,0.97065,0.99116,0.9089,0.8917,0.90301,0.83711,0.81988,0.43516,0.17921,0.00878,0.15071,0.00367,0,0.0086406,0.0086406,0.0086406
31,174.836,0.47459,0.27421,0.04288,0.19569,0.00344,0,0.9935,0.98647,0.99248,0.90918,0.90904,0.90267,0.83336,0.82453,0.4194,0.18736,0.00463,0.13747,0.00334,0,0.00855018,0.00855018,0.00855018
32,180.423,0.47288,0.33421,0.05386,0.21581,0.00366,0,0.98674,0.98065,0.99383,0.92812,0.88602,0.90269,0.87686,0.86971,0.37289,0.1635,0.00334,0.15524,0.00299,0,0.00845736,0.00845736,0.00845736
33,186.006,0.4796,0.30829,0.05596,0.21318,0.00342,0,0.97462,0.99089,0.99172,0.9192,0.89852,0.91399,0.87307,0.87185,0.39305,0.12937,0.00196,0.17573,0.00338,0,0.0083622,0.0083622,0.0083622
34,191.609,0.48486,0.30044,0.04509,0.21586,0.00372,0,0.99345,0.97884,0.99416,0.93147,0.89524,0.88216,0.82523,0.81718,0.38623,0.13068,0.00132,0.15141,0.00306,0,0.00826477,0.00826477,0.00826477
35,197.158,0.47806,0.26118,0.05694,0.21425,0.00355,0,0.98024,0.99355,0.98958,0.91359,0.89698,0.90968,0.84288,0.83831,0.42284,0.12233,0.00171,0.15455,0.00359,0,0.00816514,0.00816514,0.00816514
36,202.747,0.4568,0.21112,0.03865,0.19607,0.00337,0,0.99354,0.99216,0.98894,0.89168,0.8902,0.88923,0.81713,0.80424,0.48457,0.15368,0.00157,0.14826,0.00379,0,0.00806337,0.00806337,0.00806337
37,208.305,0.4626,0.23865,0.04536,0.18982,0.00325,0,0.97223,0.98065,0.98761,0.91542,0.88137,0.86279,0.81829,0.81184,0.38047,0.15509,0.00195,0.16302,0.00346,0,0.00795954,0.00795954,0.00795954
38,213.884,0.45546,0.24378,0.03814,0.18513,0.00342,0,0.98075,0.98609,0.98765,0.92659,0.87809,0.88296,0.81422,0.80968,0.334,0.14536,0.00196,0.1545,0.00268,0,0.00785371,0.00785371,0.00785371
39,219.468,0.47952,0.25498,0.04469,0.19,0.00339,0,0.98709,0.98679,0.98904,0.90311,0.88377,0.88387,0.84302,0.83985,0.42856,0.14405,0.00398,0.15961,0.00358,0,0.00774596,0.00774596,0.00774596
40,225.052,0.46194,0.24942,0.05045,0.18331,0.00316,0,0.9847,0.99355,0.98836,0.92707,0.89513,0.90323,0.84234,0.83483,0.36475,0.12142,0.00184,0.12172,0.00308,0,0.00763637,0.00763637,0.00763637
41,230.583,0.45091,0.22621,0.04383,0.18472,0.00323,0,0.96176,0.9871,0.98699,0.92968,0.8661,0.89032,0.83306,0.82986,0.3459,0.11547,0.00232,0.14435,0.0027,0,0.007525,0.007525,0.007525
42,236.198,0.4465,0.21925,0.03653,0.19067,0.00339,0,0.98087,0.99264,0.98837,0.93225,0.8945,0.87526,0.80079,0.7968,0.36916,0.12011,0.00199,0.13237,0.00317,0,0.00741194,0.00741194,0.00741194
