epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1632,1.53968,6.42534,0.55435,1.66407,0.01574,10.7757,0.95668,0.89431,0.95965,0.70853,0.8197,0.60976,0.61448,0.36344,1.01134,3.53991,0.3503,0.4674,0.01053,0,0.00332458,0.00332458,0.0700787
2,176.161,1.16721,3.31862,0.38576,0.70324,0.01063,5.51696,0.95688,0.90199,0.96589,0.75825,0.78349,0.73551,0.65091,0.47115,0.88496,2.90278,0.1925,0.45541,0.009,0,0.0066534,0.0066534,0.0400742
3,254.867,1.15542,2.93476,0.31643,0.67786,0.01066,4.88082,0.90688,0.88618,0.9362,0.634,0.76754,0.61789,0.64144,0.40863,1.22147,3.24478,0.12803,0.64056,0.01222,0,0.00996416,0.00996416,0.0100516
4,333.271,1.25967,2.97282,0.30601,0.79356,0.01169,4.8773,0.92312,0.91057,0.94965,0.65687,0.78048,0.69376,0.67841,0.45863,1.15631,2.85912,0.12588,0.62672,0.01265,0,0.00993906,0.00993906,0.00993906
5,412.251,1.20556,2.72486,0.28921,0.77191,0.01118,4.35496,0.9399,0.9187,0.95503,0.71523,0.78073,0.79675,0.72537,0.54865,1.00948,2.50134,0.10791,0.44069,0.01079,0,0.00989183,0.00989183,0.00989183
6,491.605,1.16737,2.58407,0.28843,0.72358,0.01075,4.05632,0.98158,0.86992,0.96946,0.71664,0.83163,0.79675,0.80191,0.62985,1.05407,1.99279,0.11055,0.44646,0.01008,0,0.00983133,0.00983133,0.00983133
7,570.333,1.12282,2.39632,0.28497,0.68879,0.01026,3.718,0.99159,0.95902,0.99097,0.75196,0.86044,0.82927,0.75217,0.60284,0.9353,1.91878,0.11484,0.33305,0.00947,0,0.00975773,0.00975773,0.00975773
8,649.452,1.09005,2.31093,0.28634,0.65749,0.00996,3.42,0.93084,0.96748,0.98409,0.7918,0.80454,0.8374,0.76382,0.66338,0.79236,1.73331,0.11696,0.3724,0.00737,0,0.00967122,0.00967122,0.00967122
9,728.627,1.06333,2.1539,0.28896,0.62281,0.0097,3.07388,0.93181,0.88881,0.94623,0.73672,0.89294,0.7561,0.772,0.66352,0.92394,2.06088,0.11496,0.51423,0.00958,0,0.00957205,0.00957205,0.00957205
10,807.667,1.0324,2.04097,0.2864,0.6076,0.00929,2.88079,0.94881,0.90422,0.95517,0.77442,0.89995,0.81301,0.81765,0.70117,0.82244,1.70577,0.11507,0.44451,0.00805,0,0.00946048,0.00946048,0.00946048
11,886.975,1.01179,2.04856,0.28602,0.59117,0.00905,2.83989,0.95186,0.96447,0.9848,0.79936,0.81547,0.82634,0.78276,0.70029,0.78434,1.68013,0.10594,0.3129,0.00801,0,0.00933683,0.00933683,0.00933683
12,965.842,0.98761,2.01359,0.27907,0.58322,0.00877,2.66932,0.95059,0.95122,0.96559,0.80046,0.92833,0.84245,0.86505,0.74804,0.73467,1.39371,0.10964,0.31533,0.00729,0,0.00920142,0.00920142,0.00920142
13,1044.94,0.97367,1.86821,0.2793,0.55523,0.00862,2.44496,0.93405,0.96748,0.98985,0.8214,0.94688,0.86956,0.90529,0.8112,0.69764,1.1225,0.11168,0.32772,0.0067,0,0.00905463,0.00905463,0.00905463
14,1124.42,0.9438,1.76831,0.2772,0.53535,0.00834,2.10569,0.95249,0.97803,0.98994,0.84495,0.88074,0.84058,0.80091,0.73108,0.66105,1.51075,0.11007,0.29188,0.00639,0,0.00889687,0.00889687,0.00889687
15,1203.59,0.9362,1.82161,0.2754,0.53229,0.00821,2.20961,0.98866,0.95122,0.98422,0.7995,0.92087,0.88618,0.8886,0.80843,0.7195,1.21722,0.10413,0.29226,0.007,0,0.00872857,0.00872857,0.00872857
16,1283.11,0.92363,1.712,0.26905,0.5138,0.00807,1.97394,0.95183,0.96389,0.99016,0.82195,0.91798,0.82927,0.85349,0.77244,0.71849,1.37719,0.10476,0.29866,0.00707,0,0.00855018,0.00855018,0.00855018
