epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,292.606,1.23698,4.67454,0.4642,1.02635,0.0122,7.53908,0.92204,0.91756,0.96434,0.71203,0.79418,0.76476,0.71869,0.51957,0.96785,2.33792,0.22317,0.44576,0.00994,0,0.00333066,0.00333066,0.070024
2,568.685,0.98057,2.40809,0.33699,0.54487,0.0091,3.7404,0.91554,0.88973,0.952,0.73249,0.8466,0.79273,0.80009,0.65965,0.89433,1.79408,0.16447,0.45048,0.00937,0,0.00665948,0.00665948,0.0400195
3,837.173,1.02733,2.29991,0.31436,0.60279,0.00976,3.4945,0.90767,0.88188,0.93762,0.67864,0.81665,0.78915,0.758,0.5925,1.05241,2.07666,0.13937,0.51056,0.01123,0,0.00997022,0.00997022,0.00999693
4,1106.04,1.09223,2.36559,0.3088,0.67984,0.01038,3.49399,0.89953,0.78278,0.88841,0.6622,0.83756,0.72272,0.76893,0.63231,1.00428,1.74111,0.13711,0.70257,0.0106,0,0.00993906,0.00993906,0.00993906
5,1375.88,1.00235,2.06335,0.29904,0.59518,0.00939,2.7745,0.93833,0.89105,0.95675,0.75199,0.86752,0.81608,0.81624,0.71003,0.84426,1.53295,0.13719,0.43959,0.00862,0,0.00989183,0.00989183,0.00989183
6,1644.57,0.95821,1.92183,0.29149,0.56533,0.00894,2.44094,0.94868,0.93439,0.97619,0.78236,0.88444,0.85986,0.84409,0.74681,0.78426,1.33017,0.12266,0.35658,0.00779,0,0.00983133,0.00983133,0.00983133
7,1914.21,0.91947,1.79662,0.27701,0.52619,0.0085,2.06354,0.94129,0.93892,0.97589,0.80049,0.89907,0.87487,0.87814,0.79728,0.73668,1.13839,0.1216,0.34249,0.00737,0,0.00975773,0.00975773,0.00975773
8,2184.32,0.88346,1.74691,0.25266,0.50404,0.00814,1.88713,0.96531,0.93594,0.98377,0.82664,0.90773,0.87387,0.87496,0.80239,0.67205,1.09047,0.10678,0.30877,0.00658,0,0.00967122,0.00967122,0.00967122
9,2454.05,0.85884,1.6495,0.23007,0.48191,0.00779,1.54052,0.94309,0.94552,0.981,0.83152,0.91062,0.88219,0.88668,0.81539,0.63877,0.98941,0.10234,0.31103,0.00616,0,0.00957205,0.00957205,0.00957205
10,2723.76,0.85137,1.65079,0.21403,0.48355,0.00781,1.50485,0.96665,0.94745,0.98546,0.84053,0.91848,0.8969,0.89298,0.82193,0.62107,0.9965,0.08637,0.29183,0.00602,0,0.00946048,0.00946048,0.00946048
11,2993.23,0.82384,1.51527,0.19835,0.45513,0.00742,1.13758,0.95363,0.95996,0.98775,0.85824,0.90789,0.8994,0.89428,0.83519,0.57557,0.95201,0.07937,0.27908,0.00547,0,0.00933683,0.00933683,0.00933683
