epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,280.182,1.24242,4.71883,0.47148,1.04628,0.0124,7.66402,0.91593,0.9009,0.95517,0.69922,0.78885,0.75125,0.69792,0.51378,1.01188,2.40915,0.22674,0.4633,0.0104,0,0.00333053,0.00333053,0.0700253
2,543.495,0.98661,2.39079,0.3413,0.5481,0.00926,3.73078,0.92579,0.8969,0.95901,0.74074,0.85864,0.80864,0.80137,0.64214,0.88917,1.84369,0.17026,0.43587,0.00911,0,0.00665934,0.00665934,0.0400207
3,799.74,1.03221,2.35819,0.32073,0.61715,0.00982,3.57937,0.93184,0.87487,0.94752,0.70282,0.82484,0.76365,0.73487,0.58431,0.9931,2.11557,0.15344,0.48921,0.01032,0,0.00997009,0.00997009,0.00999814
4,1057.01,1.07397,2.36522,0.30866,0.65912,0.01034,3.44362,0.91264,0.86799,0.94099,0.69425,0.83254,0.77227,0.77919,0.63816,0.98701,1.76275,0.13754,0.55657,0.01001,0,0.00993906,0.00993906,0.00993906
5,1312.8,1.00623,2.10326,0.30354,0.59717,0.0095,2.8092,0.93121,0.9215,0.96379,0.75442,0.86419,0.84075,0.83963,0.71487,0.84861,1.52752,0.1379,0.39775,0.0086,0,0.00989183,0.00989183,0.00989183
6,1569.51,0.95538,1.93206,0.29442,0.55306,0.00892,2.37708,0.94104,0.94259,0.97931,0.78822,0.88734,0.86737,0.85749,0.7597,0.76652,1.26826,0.13346,0.35311,0.00765,0,0.00983133,0.00983133,0.00983133
7,1826.41,0.9091,1.79293,0.28411,0.51899,0.00839,1.94273,0.95099,0.94344,0.98118,0.80809,0.8947,0.86755,0.87045,0.78038,0.72583,1.22481,0.12292,0.33423,0.00709,0,0.00975773,0.00975773,0.00975773
8,2083.17,0.87448,1.7094,0.26454,0.49549,0.00806,1.68707,0.94896,0.93053,0.97805,0.79061,0.90041,0.87333,0.87735,0.78562,0.76084,1.16891,0.11932,0.35285,0.00737,0,0.00967122,0.00967122,0.00967122
9,2339.76,0.85178,1.62708,0.23833,0.47885,0.0078,1.44257,0.96294,0.93944,0.98615,0.83745,0.90662,0.87956,0.87707,0.8077,0.64203,1.07825,0.10201,0.2925,0.0062,0,0.00957205,0.00957205,0.00957205
10,2596.42,0.83147,1.55303,0.22142,0.46197,0.00757,1.22623,0.95731,0.95395,0.98676,0.84743,0.90515,0.89289,0.88108,0.81605,0.61039,1.02678,0.08958,0.29049,0.00587,0,0.00946048,0.00946048,0.00946048
11,2854.2,0.81943,1.55287,0.20545,0.45818,0.00746,1.16784,0.96094,0.94695,0.98783,0.85246,0.92254,0.88539,0.89283,0.83001,0.58643,0.94279,0.08572,0.28752,0.00558,0,0.00933683,0.00933683,0.00933683
12,3110.53,0.80153,1.49165,0.19292,0.45112,0.00725,0.97791,0.96636,0.95896,0.98968,0.8653,0.92264,0.91291,0.91209,0.85211,0.56174,0.87322,0.07643,0.25492,0.00522,0,0.00920142,0.00920142,0.00920142
13,3368.57,0.79852,1.47235,0.18306,0.44076,0.00719,0.87567,0.96672,0.95952,0.98915,0.86994,0.92358,0.91335,0.91326,0.85819,0.54348,0.83004,0.07184,0.2603,0.00511,0,0.00905463,0.00905463,0.00905463
14,3624.6,0.78715,1.43848,0.17448,0.42992,0.00709,0.79005,0.96262,0.96547,0.98954,0.88154,0.92664,0.91141,0.91243,0.86121,0.52317,0.84301,0.06859,0.24663,0.00481,0,0.00889687,0.00889687,0.00889687
15,3881.45,0.78713,1.43713,0.17078,0.43588,0.00712,0.80123,0.96118,0.95946,0.98833,0.88432,0.92509,0.91592,0.9148,0.86719,0.51329,0.7856,0.06402,0.24528,0.00474,0,0.00872857,0.00872857,0.00872857
16,4137.72,0.77606,1.39608,0.16465,0.4272,0.00695,0.60675,0.97054,0.95624,0.99015,0.88929,0.93695,0.91241,0.92049,0.86976,0.49736,0.77302,0.06061,0.23563,0.00457,0,0.00855018,0.00855018,0.00855018
17,4394.42,0.76907,1.34968,0.15981,0.4129,0.00689,0.55957,0.97177,0.96477,0.99147,0.89506,0.93302,0.91892,0.91814,0.87447,0.4817,0.7794,0.05618,0.22514,0.00444,0,0.0083622,0.0083622,0.0083622
18,4650.15,0.77222,1.36384,0.15518,0.42482,0.00693,0.55999,0.97618,0.96146,0.99136,0.89539,0.93192,0.91642,0.91197,0.86968,0.48042,0.78765,0.05209,0.2225,0.00439,0,0.00816514,0.00816514,0.00816514
