scope,model,neg_detect@0.05,@0.10,@0.25,@0.40,FP_per_image@0.40,cand_per_img,neg_conf_p90
HELDOUT,A42,0.2514,0.156,0.0519,0.0218,0.0218,16.76,0.1578
HELDOUT,C43,0.1593,0.1255,0.0835,0.0609,0.0621,1.55,0.1762
HELDOUT,G38,0.1432,0.1021,0.0486,0.0255,0.0276,2.56,0.1048
HELDOUT,OLD,0.0872,0.0584,0.0284,0.0218,0.0222,2.21,0.0393
HELDOUT,FT,0.0605,0.0403,0.016,0.007,0.007,0.65,0.0139
FULL,A42,0.2343,0.1439,0.0476,0.0197,0.0197,17.61,0.1494
FULL,C43,0.1592,0.1257,0.0818,0.0584,0.0602,1.59,0.1736
FULL,G38,0.1435,0.1004,0.0454,0.0231,0.0249,2.64,0.1005
FULL,OLD,0.0863,0.0558,0.0264,0.0201,0.0205,2.35,0.0386
FULL,FT,0.0573,0.0383,0.0149,0.0063,0.0063,0.73,0.0121
