epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,130.778,0.5117,0.48405,0.03436,0.22679,0.00423,0.02678,0.97904,0.98081,0.99249,0.94136,0.96207,0.96387,0.96165,0.94362,0.34513,0.3574,0.01466,0.16863,0.0034,0,0.00199617,0.00199617,0.00218774
2,254.434,0.43412,0.46566,0.03659,0.20552,0.00375,0.00106,0.97807,0.98,0.99399,0.93821,0.96667,0.95719,0.97275,0.94382,0.3657,0.37744,0.01175,0.16057,0.00371,0,0.00199695,0.00199695,0.00199695
3,373.596,0.42837,0.44176,0.03515,0.19863,0.0037,0.0009,0.97207,0.97436,0.99221,0.92617,0.96263,0.956,0.96624,0.93908,0.38725,0.4084,0.01157,0.18149,0.00373,0,0.00198781,0.00198781,0.00198781
4,492.273,0.4254,0.43492,0.03533,0.19283,0.00364,0,0.99228,0.973,0.9942,0.93036,0.94753,0.95714,0.94987,0.92283,0.3818,0.52101,0.01351,0.15993,0.00376,0,0.00197265,0.00197265,0.00197265
5,610.333,0.41541,0.42617,0.03412,0.19518,0.00357,0.00162,0.97715,0.98335,0.99304,0.93142,0.95527,0.96097,0.96282,0.93833,0.37478,0.43198,0.01406,0.16334,0.00374,0,0.00195155,0.00195155,0.00195155
6,728.504,0.41112,0.41014,0.03504,0.19031,0.0035,0.00416,0.97108,0.973,0.99256,0.92818,0.95393,0.95242,0.95946,0.93004,0.38309,0.46466,0.01363,0.18786,0.00387,0,0.00192464,0.00192464,0.00192464
7,847.043,0.41517,0.42966,0.03675,0.19359,0.00362,0.00093,0.97115,0.97622,0.99266,0.93296,0.95625,0.96177,0.96419,0.93565,0.36666,0.39848,0.01332,0.17736,0.00371,0,0.0018921,0.0018921,0.0018921
8,966.323,0.40817,0.40172,0.03482,0.19089,0.00346,0.00028,0.97665,0.971,0.99246,0.93202,0.95658,0.948,0.95893,0.93024,0.37103,0.45839,0.01324,0.17504,0.00347,0,0.00185411,0.00185411,0.00185411
9,1086.49,0.40183,0.41052,0.03459,0.19149,0.00341,0.00286,0.98241,0.977,0.99371,0.92792,0.96285,0.95892,0.96131,0.93629,0.38866,0.3941,0.01216,0.18473,0.00373,0,0.00181093,0.00181093,0.00181093
10,1210.22,0.39544,0.36728,0.03325,0.19021,0.00341,0.00042,0.976,0.969,0.993,0.93787,0.95874,0.95262,0.96414,0.94237,0.36025,0.37594,0.01213,0.16423,0.00357,0,0.0017628,0.0017628,0.0017628
11,1335.28,0.38757,0.36448,0.03324,0.18426,0.00328,0,0.97911,0.98441,0.99383,0.93622,0.96121,0.96652,0.96224,0.93548,0.3615,0.40702,0.0107,0.17002,0.0036,0,0.00171004,0.00171004,0.00171004
12,1476.88,0.38716,0.35661,0.0334,0.17991,0.00323,0.00015,0.97691,0.97299,0.99307,0.93635,0.96083,0.95667,0.9618,0.93448,0.35782,0.41337,0.01291,0.1741,0.00352,0,0.00165295,0.00165295,0.00165295
13,1615.39,0.37992,0.34467,0.0336,0.17678,0.00325,0.00067,0.97477,0.973,0.99322,0.93664,0.95573,0.954,0.96065,0.93321,0.3586,0.4395,0.01403,0.16226,0.00347,0,0.00159191,0.00159191,0.00159191
14,1739.99,0.37656,0.35144,0.03308,0.18259,0.0032,0.00023,0.97798,0.9771,0.99238,0.92886,0.96285,0.95898,0.9656,0.93397,0.3665,0.41723,0.01401,0.16836,0.00384,0,0.00152727,0.00152727,0.00152727
15,1864.68,0.37463,0.34508,0.032,0.17741,0.00316,0,0.97669,0.96377,0.99315,0.93646,0.95428,0.95,0.96034,0.93735,0.35858,0.39942,0.01275,0.16638,0.00353,0,0.00145945,0.00145945,0.00145945
16,1992.97,0.36976,0.32832,0.03198,0.17614,0.0031,0,0.98,0.968,0.99293,0.93984,0.9682,0.956,0.97408,0.94476,0.33655,0.3532,0.01083,0.16107,0.00326,0,0.00138886,0.00138886,0.00138886
