epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,76.072,2.34792,9.39587,0.56702,2.80262,0.02531,15.6806,0.80064,0.51335,0.62453,0.27114,0.04886,0.01504,0.00127,0.00015,2.21642,8.97436,0.34282,1.76296,0.01895,0,0.00332255,0.00332255,0.0700971
2,143.705,1.88375,7.76908,0.36841,1.47096,0.01843,12.2631,0.69434,0.66613,0.68672,0.34015,0.21202,0.09774,0.03728,0.01187,2.04823,8.3509,0.21335,1.37875,0.01701,0,0.00665136,0.00665136,0.0400926
3,209.284,1.8879,7.15923,0.30716,1.36461,0.01848,11.8358,0.64838,0.57143,0.60777,0.30634,0.25357,0.12782,0.06458,0.02094,2.06709,7.88238,0.15234,1.9103,0.01892,0,0.00996213,0.00996213,0.01007
4,276.078,1.9869,7.16972,0.28959,1.52022,0.01984,11.4723,0.67486,0.40602,0.47546,0.22297,0.3436,0.1203,0.07805,0.02086,2.37908,8.51247,0.15512,2.26869,0.02325,0,0.00993906,0.00993906,0.00993906
5,342.856,2.02616,6.89799,0.28246,1.61778,0.02021,11.1735,0.7633,0.48872,0.55926,0.25367,0.51822,0.15038,0.10236,0.03256,2.29895,7.71925,0.12989,1.97826,0.02187,0,0.00989183,0.00989183,0.00989183
6,411.758,2.00942,6.75449,0.2754,1.72198,0.02029,10.9232,0.60158,0.50376,0.53451,0.23922,0.37037,0.14286,0.10958,0.03515,1.97137,7.34007,0.12031,1.87938,0.01798,0,0.00983133,0.00983133,0.00983133
7,480.619,1.99625,6.3806,0.26298,1.68744,0.0202,10.4431,0.46555,0.45846,0.39174,0.1777,0.20078,0.20301,0.1212,0.05094,2.10579,7.40213,0.13456,2.64791,0.02072,0,0.00975773,0.00975773,0.00975773
8,549.045,1.96992,6.1056,0.26161,1.65138,0.0198,10.0023,0.74561,0.55639,0.66014,0.31305,0.43087,0.2782,0.18666,0.08831,2.08312,6.52284,0.12425,1.75337,0.01963,0,0.00967122,0.00967122,0.00967122
9,617.387,1.94636,5.76876,0.25976,1.58251,0.01937,9.47489,0.70786,0.60902,0.68367,0.30563,0.3339,0.30075,0.20307,0.10322,2.14853,6.9078,0.10838,1.72382,0.01839,0,0.00957205,0.00957205,0.00957205
10,685.641,1.90075,5.42624,0.25585,1.51918,0.01887,9.19889,0.77065,0.55583,0.64544,0.2578,0.54691,0.29323,0.27053,0.12955,2.24121,5.49082,0.09262,1.7964,0.02163,0,0.00946048,0.00946048,0.00946048
