epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2526,2.35279,9.38914,0.56986,2.81406,0.02536,15.6974,0.69407,0.43609,0.50318,0.19117,0.07711,0.03008,0.00589,0.0006,2.4207,9.05397,0.36211,1.94097,0.02274,0,0.00332255,0.00332255,0.0700971
2,146.349,1.89459,7.75091,0.37263,1.48137,0.01859,12.2989,0.86922,0.60902,0.76728,0.39076,0.33196,0.16541,0.07221,0.02552,1.6872,7.95854,0.23359,1.53088,0.01434,0,0.00665136,0.00665136,0.0400926
3,212.892,1.87393,7.05356,0.30918,1.37056,0.01833,11.8909,0.8518,0.4754,0.57203,0.2312,0.3228,0.12782,0.07493,0.02452,2.15295,8.31296,0.19065,2.19359,0.02162,0,0.00996213,0.00996213,0.01007
4,279.354,1.96481,6.99636,0.28985,1.46495,0.01952,11.7058,0.65057,0.64395,0.67108,0.30786,0.18484,0.18045,0.06864,0.0202,2.21045,8.42915,0.11602,1.66364,0.01938,0,0.00993906,0.00993906,0.00993906
5,345.134,1.92814,6.77637,0.2861,1.46446,0.0189,11.4302,0.70527,0.52632,0.58461,0.26384,0.17526,0.12782,0.05472,0.02578,2.22405,7.69242,0.10318,2.04207,0.02161,0,0.00989183,0.00989183,0.00989183
6,411.808,1.90849,6.48538,0.27324,1.44091,0.019,11.1672,0.65761,0.64986,0.69456,0.33277,0.22872,0.21805,0.10499,0.04967,2.04626,7.15261,0.10378,1.62208,0.01915,0,0.00983133,0.00983133,0.00983133
7,478.461,1.90602,6.32167,0.25736,1.48506,0.01894,10.6342,0.68523,0.47368,0.55179,0.22276,0.38887,0.19549,0.14076,0.04409,2.3404,7.89444,0.11843,1.91901,0.02274,0,0.00975773,0.00975773,0.00975773
8,545.018,1.92209,6.25636,0.25565,1.50141,0.01909,10.3525,0.8227,0.53383,0.66374,0.31965,0.40613,0.24812,0.15327,0.0838,2.061,6.74727,0.10352,1.88997,0.01877,0,0.00967122,0.00967122,0.00967122
9,610.821,1.92068,6.10038,0.25229,1.54567,0.01915,10.2466,0.78209,0.67669,0.73538,0.3796,0.51402,0.25564,0.22508,0.10671,1.91367,6.38441,0.08853,1.6132,0.01616,0,0.00957205,0.00957205,0.00957205
10,676.307,1.88746,5.7389,0.24903,1.45038,0.01858,9.78118,0.7886,0.56098,0.66854,0.33438,0.36506,0.30827,0.22475,0.10723,1.89753,5.41268,0.10281,1.90247,0.0171,0,0.00946048,0.00946048,0.00946048
11,742.124,1.87259,5.53239,0.24707,1.42319,0.01856,9.44383,0.67259,0.62406,0.65167,0.32198,0.47227,0.31579,0.24499,0.11688,2.0161,5.8488,0.0984,1.64022,0.01729,0,0.00933683,0.00933683,0.00933683
12,808.39,1.83354,5.22731,0.24187,1.35875,0.01801,8.97724,0.79777,0.72932,0.80365,0.40694,0.61511,0.3609,0.31449,0.17199,1.76215,4.67175,0.09252,1.33073,0.01483,0,0.00920142,0.00920142,0.00920142
13,874.426,1.81504,4.9831,0.24364,1.3479,0.01763,8.50798,0.68956,0.68421,0.74962,0.37338,0.59495,0.45865,0.39713,0.20814,1.74986,4.63157,0.08491,1.2887,0.01571,0,0.00905463,0.00905463,0.00905463
14,940.369,1.78531,4.71607,0.22925,1.29433,0.01718,8.14379,0.75883,0.5678,0.63751,0.32098,0.53437,0.37969,0.30431,0.17081,1.98348,5.78021,0.09822,1.91633,0.01872,0,0.00889687,0.00889687,0.00889687
15,1006.29,1.77251,4.69409,0.23103,1.27086,0.0172,8.04763,0.87946,0.62406,0.77888,0.42833,0.57116,0.48872,0.42281,0.23021,1.74798,4.09396,0.08611,1.14303,0.01468,0,0.00872857,0.00872857,0.00872857
16,1071.91,1.76621,4.59794,0.23119,1.28023,0.01697,7.89612,0.82548,0.7218,0.8105,0.45831,0.52665,0.51029,0.4239,0.26161,1.9048,4.65792,0.09489,1.19632,0.01571,0,0.00855018,0.00855018,0.00855018
17,1137.8,1.72171,4.36043,0.23038,1.21225,0.01645,7.56255,0.8822,0.67569,0.79521,0.41915,0.62974,0.44361,0.42415,0.24114,1.78863,4.72542,0.0735,1.31859,0.01485,0,0.0083622,0.0083622,0.0083622
18,1203.48,1.69422,4.23524,0.22498,1.16601,0.01624,7.31891,0.79736,0.71007,0.80942,0.462,0.62059,0.45865,0.40931,0.25351,1.80266,3.94447,0.09125,1.29479,0.01628,0,0.00816514,0.00816514,0.00816514
19,1267.69,1.68897,4.12899,0.21947,1.12165,0.01607,7.25741,0.83969,0.78765,0.87002,0.51916,0.70258,0.57895,0.5998,0.38914,1.61501,3.78572,0.07275,1.0713,0.01236,0,0.00795954,0.00795954,0.00795954
20,1332.31,1.6528,3.96238,0.22272,1.09295,0.01557,6.89383,0.81043,0.81203,0.86086,0.51473,0.73324,0.57143,0.60484,0.41643,1.61783,3.44814,0.08542,1.09112,0.01395,0,0.00774596,0.00774596,0.00774596
21,1397.45,1.65124,3.9248,0.22315,1.08039,0.01574,6.89523,0.90845,0.82074,0.90065,0.5451,0.74791,0.6692,0.67278,0.45573,1.66477,3.23673,0.08765,1.01737,0.01376,0,0.007525,0.007525,0.007525
22,1462.98,1.62566,3.78941,0.21596,1.04055,0.01537,6.55548,0.86235,0.80078,0.87541,0.52042,0.61581,0.57143,0.48046,0.32261,1.59361,4.39338,0.08199,1.06083,0.01384,0,0.00729725,0.00729725,0.00729725
23,1528.49,1.60605,3.79369,0.21397,1.04506,0.01512,6.51264,0.83905,0.66917,0.7847,0.48952,0.83638,0.4812,0.53902,0.38878,1.64339,3.89227,0.07503,1.40836,0.01342,0,0.00706335,0.00706335,0.00706335
24,1594.01,1.5779,3.67147,0.21011,1.01206,0.01484,6.08947,0.8552,0.79931,0.87895,0.54575,0.7634,0.60651,0.63101,0.45818,1.55406,3.7359,0.0799,0.9788,0.01223,0,0.00682392,0.00682392,0.00682392
25,1658.16,1.56025,3.63595,0.20878,0.9882,0.01464,5.92614,0.87001,0.81203,0.88532,0.55955,0.71635,0.66917,0.63059,0.44597,1.45622,3.05736,0.08207,1.05877,0.01126,0,0.00657963,0.00657963,0.00657963
26,1722.69,1.54936,3.67909,0.21235,0.98402,0.01442,5.96551,0.88331,0.79699,0.87202,0.5831,0.78176,0.66917,0.68577,0.48139,1.30563,2.91358,0.07537,0.93186,0.01021,0,0.00633115,0.00633115,0.00633115
27,1787.72,1.50934,3.54709,0.20815,0.97473,0.01404,5.65156,0.86616,0.84211,0.9056,0.59848,0.75807,0.68325,0.67322,0.49761,1.41019,3.19028,0.07441,0.94237,0.0102,0,0.00607916,0.00607916,0.00607916
28,1853.62,1.484,3.38039,0.20737,0.92768,0.01369,5.2973,0.92102,0.76692,0.88577,0.59825,0.80307,0.66165,0.68553,0.49596,1.26815,3.00852,0.08215,1.00082,0.0098,0,0.00582435,0.00582435,0.00582435
29,1919.73,1.4672,3.3585,0.20604,0.91921,0.01352,5.30608,0.9145,0.81955,0.93406,0.61957,0.81933,0.68198,0.67987,0.5211,1.36323,3.4989,0.07713,0.89594,0.01032,0,0.00556742,0.00556742,0.00556742
30,1985.58,1.46033,3.3647,0.20773,0.87615,0.01343,5.16598,0.91589,0.8187,0.9153,0.61517,0.82903,0.71429,0.74635,0.56602,1.40915,2.5784,0.06582,0.83032,0.01065,0,0.00530906,0.00530906,0.00530906
31,2050.96,1.44164,3.35629,0.19777,0.8846,0.01326,5.12631,0.89927,0.83459,0.91967,0.62756,0.7945,0.73684,0.73305,0.55523,1.29733,2.70828,0.06928,0.92788,0.01034,0,0.00505,0.00505,0.00505
32,2116.56,1.42392,3.29403,0.19892,0.85571,0.01307,4.88509,0.88853,0.81955,0.90461,0.61544,0.79688,0.70795,0.72757,0.58601,1.3408,2.49951,0.06527,0.87938,0.01087,0,0.00479094,0.00479094,0.00479094
33,2181.67,1.41746,3.14813,0.19501,0.84621,0.01276,4.68212,0.85986,0.87658,0.91659,0.63447,0.82181,0.70677,0.73268,0.57197,1.21689,2.73739,0.06584,0.8661,0.00971,0,0.00453258,0.00453258,0.00453258
34,2246.99,1.37957,3.10583,0.1919,0.8364,0.01239,4.52303,0.90121,0.86466,0.91918,0.64161,0.8392,0.7218,0.75204,0.60487,1.33478,2.4322,0.06709,0.80719,0.01024,0,0.00427565,0.00427565,0.00427565
35,2311.87,1.35918,2.92747,0.19193,0.80732,0.01216,4.25826,0.92803,0.87257,0.92765,0.6518,0.80072,0.75188,0.74603,0.59629,1.3311,2.72016,0.06248,0.83171,0.01031,0,0.00402084,0.00402084,0.00402084
36,2376.07,1.35983,2.97755,0.19511,0.81292,0.01223,4.25929,0.95687,0.83411,0.95112,0.66645,0.87039,0.75738,0.78536,0.61536,1.32167,2.50976,0.06164,0.79324,0.00977,0,0.00376885,0.00376885,0.00376885
37,2441.1,1.32917,2.79629,0.18943,0.78763,0.01191,3.94778,0.90529,0.87218,0.95086,0.65698,0.81633,0.76863,0.7511,0.56973,1.18292,2.8323,0.05548,0.94221,0.00925,0,0.00352037,0.00352037,0.00352037
38,2505.96,1.30902,2.77209,0.18642,0.7688,0.01175,3.98719,0.91111,0.85714,0.94144,0.67916,0.83688,0.7594,0.78798,0.62472,1.11969,1.98849,0.06019,0.82783,0.00821,0,0.00327608,0.00327608,0.00327608
39,2571.16,1.28446,2.57219,0.18601,0.75905,0.01144,3.52287,0.84935,0.8797,0.92181,0.68296,0.85126,0.77458,0.80548,0.64689,1.13547,1.97597,0.057,0.77491,0.00822,0,0.00303665,0.00303665,0.00303665
40,2636.29,1.28407,2.64788,0.1864,0.75653,0.01143,3.66374,0.93215,0.84211,0.94365,0.71076,0.88324,0.7594,0.80628,0.65666,1.05143,2.08619,0.05456,0.73392,0.00798,0,0.00280275,0.00280275,0.00280275
41,2701.24,1.26847,2.55727,0.18253,0.74716,0.01127,3.43486,0.87542,0.86466,0.93874,0.67122,0.78117,0.76692,0.75866,0.61386,1.20115,2.47778,0.05517,0.69769,0.00915,0,0.002575,0.002575,0.002575
42,2765.48,1.25753,2.4895,0.18113,0.72721,0.01119,3.32931,0.9027,0.83712,0.93966,0.69604,0.83795,0.77759,0.8134,0.68891,1.08454,2.08826,0.05367,0.70526,0.00843,0,0.00235404,0.00235404,0.00235404
43,2828.81,1.24079,2.39672,0.17964,0.69601,0.01106,3.15524,0.93495,0.87218,0.9568,0.70287,0.84452,0.78947,0.80255,0.66205,1.09022,2.19747,0.05163,0.76196,0.00804,0,0.00214046,0.00214046,0.00214046
44,2892.28,1.22828,2.37623,0.18162,0.70399,0.01085,3.04453,0.93462,0.84211,0.9459,0.70025,0.8458,0.78359,0.81744,0.686,1.10906,2.16532,0.05272,0.76118,0.0085,0,0.00193486,0.00193486,0.00193486
45,2955.79,1.21034,2.33169,0.17842,0.69598,0.0106,2.91212,0.93525,0.8797,0.94363,0.71516,0.84874,0.78195,0.82669,0.705,1.08847,1.79784,0.05002,0.75037,0.00808,0,0.0017378,0.0017378,0.0017378
46,3019.6,1.20734,2.30804,0.17813,0.69202,0.01058,2.8267,0.94175,0.88722,0.95357,0.72094,0.86067,0.79699,0.8223,0.7005,1.08985,1.94852,0.04654,0.70835,0.0083,0,0.00154982,0.00154982,0.00154982
47,3083.45,1.18984,2.22923,0.17716,0.67082,0.01049,2.7199,0.95766,0.87218,0.95607,0.72622,0.86617,0.78947,0.80879,0.69688,1.10582,2.00407,0.04714,0.66469,0.00778,0,0.00137143,0.00137143,0.00137143
48,3147.75,1.18401,2.16143,0.18056,0.67702,0.01053,2.57194,0.88985,0.91114,0.95537,0.71743,0.82833,0.75188,0.75032,0.63509,1.11444,2.30552,0.04684,0.71612,0.00841,0,0.00120313,0.00120313,0.00120313
49,3211.59,1.16887,2.14788,0.17513,0.66467,0.0102,2.50537,0.90845,0.89533,0.95555,0.72258,0.81628,0.80174,0.79898,0.68237,1.08995,2.05869,0.04567,0.73658,0.00792,0,0.00104537,0.00104537,0.00104537
50,3275.88,1.15861,2.06414,0.17344,0.67006,0.0102,2.3564,0.887,0.88528,0.95386,0.72708,0.83873,0.78947,0.81246,0.69262,1.10139,2.12793,0.04623,0.70291,0.00818,0,0.000898581,0.000898581,0.000898581
51,3342.14,0.95321,1.36217,0.0584,0.43017,0.00858,1.38254,0.91494,0.88964,0.95205,0.71846,0.83274,0.78615,0.81673,0.68888,1.1104,2.12376,0.04416,0.67512,0.00837,0,0.000763174,0.000763174,0.000763174
52,3406.08,0.94289,1.34213,0.05981,0.41701,0.00844,1.27013,0.88593,0.92481,0.95741,0.73435,0.83074,0.78947,0.81537,0.6976,1.06779,1.99208,0.03951,0.63258,0.00804,0,0.000639518,0.000639518,0.000639518
53,3468.52,0.93742,1.29825,0.05833,0.40209,0.0084,1.09704,0.90465,0.94737,0.95938,0.73562,0.81774,0.80964,0.81343,0.70392,1.07034,1.93137,0.0397,0.64028,0.00801,0,0.00052795,0.00052795,0.00052795
54,3530.86,0.92784,1.28097,0.05698,0.40306,0.00838,1.00537,0.90982,0.93985,0.96122,0.74048,0.8927,0.78947,0.82577,0.71477,1.06021,1.89513,0.03935,0.61903,0.00801,0,0.000428777,0.000428777,0.000428777
55,3593.47,0.9226,1.24976,0.05633,0.3949,0.00829,0.95639,0.94717,0.9436,0.96505,0.74041,0.90239,0.76464,0.82172,0.70803,1.07105,1.97825,0.03827,0.60281,0.00809,0,0.00034227,0.00034227,0.00034227
56,3656.2,0.91146,1.25466,0.05559,0.39775,0.00819,0.97204,0.92701,0.92481,0.96249,0.73397,0.8547,0.7961,0.81455,0.70954,1.07562,1.99504,0.03742,0.60654,0.00813,0,0.000268667,0.000268667,0.000268667
57,3719.37,0.90891,1.24184,0.05553,0.39311,0.00815,0.91053,0.91575,0.94737,0.96291,0.73769,0.86521,0.78195,0.80518,0.6963,1.06886,2.05151,0.03645,0.60079,0.00807,0,0.000208169,0.000208169,0.000208169
58,3783.22,0.90646,1.24736,0.05567,0.39592,0.00817,0.91995,0.92589,0.93943,0.96342,0.73764,0.86363,0.78195,0.81223,0.69854,1.06533,2.01595,0.03607,0.6047,0.00804,0,0.000160943,0.000160943,0.000160943
59,3847.16,0.9081,1.21973,0.0565,0.38925,0.00818,0.88552,0.91938,0.94322,0.96372,0.74068,0.86148,0.78947,0.81992,0.69704,1.06655,1.99507,0.03447,0.57982,0.00806,0,0.000127117,0.000127117,0.000127117
60,3910.9,0.90577,1.23297,0.05314,0.38406,0.00812,0.894,0.91776,0.93985,0.96437,0.73862,0.86684,0.78316,0.81855,0.7014,1.07064,1.98682,0.03389,0.57981,0.00807,0,0.000106784,0.000106784,0.000106784
