epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9492,2.33791,10.4603,0.57115,2.79749,0.02512,15.6658,0.82113,0.51776,0.6166,0.26158,0,0,0,0,2.18697,9.94208,0.32638,1.69557,0.0193,0,0.00332255,0.00332255,0.0700971
2,148.738,1.87566,9.27045,0.35553,1.38899,0.01823,12.0243,0.80935,0.74436,0.79498,0.38906,0.13716,0.04511,0.0187,0.00281,1.81603,9.14489,0.202,1.30659,0.01487,0,0.00665136,0.00665136,0.0400926
3,218.202,1.84754,8.70955,0.30367,1.27021,0.01793,11.6898,0.86758,0.55639,0.69104,0.34516,0.38441,0.07519,0.05144,0.00833,2.08888,8.9896,0.14202,1.48661,0.01866,0,0.00996213,0.00996213,0.01007
4,286.709,1.88167,8.46052,0.2862,1.32148,0.01836,11.552,0.79048,0.68083,0.76025,0.4225,0.19664,0.15038,0.05772,0.01296,2.02575,8.45688,0.13648,1.2111,0.01667,0,0.00993906,0.00993906,0.00993906
5,355.363,1.81986,8.16814,0.27707,1.22767,0.01751,11.3156,0.70516,0.64662,0.6791,0.31336,0.19788,0.15038,0.03902,0.00859,2.02847,8.47483,0.12569,1.65067,0.01791,0,0.00989183,0.00989183,0.00989183
6,423.57,1.75934,7.86557,0.26559,1.13398,0.01685,11.0497,0.80662,0.72132,0.83005,0.46061,0.22821,0.15789,0.06217,0.01237,1.84656,8.55592,0.11263,1.24871,0.01534,0,0.00983133,0.00983133,0.00983133
7,493.294,1.71046,7.70319,0.24603,1.09506,0.01637,11.0276,0.85647,0.75188,0.84697,0.49486,0.2762,0.20946,0.09074,0.02046,1.65122,7.74773,0.1051,1.29306,0.01259,0,0.00975773,0.00975773,0.00975773
8,562.598,1.67697,7.52893,0.2453,1.05329,0.01596,10.8255,0.8758,0.7423,0.84202,0.47654,0.45626,0.21805,0.15249,0.03224,1.60984,7.49284,0.10179,1.03653,0.01341,0,0.00967122,0.00967122,0.00967122
9,631.616,1.68882,7.44512,0.23579,1.05838,0.01611,10.6465,0.84073,0.71443,0.80915,0.42836,0.47879,0.27068,0.1685,0.04874,1.78847,7.14476,0.08116,1.03287,0.01438,0,0.00957205,0.00957205,0.00957205
10,699.569,1.66316,7.23617,0.23106,1.04985,0.0157,10.4006,0.8284,0.74436,0.81503,0.45336,0.49158,0.31579,0.23375,0.0651,1.62099,6.64046,0.08078,1.08799,0.01338,0,0.00946048,0.00946048,0.00946048
11,766.811,1.67536,7.04378,0.22643,1.07209,0.01597,10.159,0.84689,0.70701,0.79575,0.43698,0.49399,0.2406,0.18483,0.06465,1.86706,6.84539,0.07278,1.24702,0.01565,0,0.00933683,0.00933683,0.00933683
12,833.97,1.69795,6.99016,0.22164,1.08248,0.01626,10.1287,0.79393,0.63158,0.69765,0.36469,0.3942,0.21053,0.13618,0.03421,1.85819,7.06258,0.08097,1.51621,0.01577,0,0.00920142,0.00920142,0.00920142
13,901.374,1.6795,6.75517,0.22519,1.08533,0.01598,9.77308,0.84193,0.80096,0.87601,0.52117,0.53167,0.31582,0.26512,0.09716,1.64651,6.5043,0.0757,1.06915,0.01384,0,0.00905463,0.00905463,0.00905463
