epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,285.979,1.23805,4.69285,0.46491,1.0324,0.01223,7.57812,0.93353,0.8989,0.9525,0.73032,0.83204,0.76291,0.73182,0.56635,0.92157,2.19896,0.2232,0.41657,0.0095,0,0.00333063,0.00333063,0.0700243
2,561.404,0.97803,2.36805,0.3364,0.5452,0.00915,3.68042,0.93238,0.908,0.96673,0.75634,0.88611,0.808,0.81565,0.68111,0.85197,1.63878,0.17059,0.41223,0.0088,0,0.00665945,0.00665945,0.0400198
3,829.08,1.03015,2.30349,0.31637,0.60341,0.00983,3.48339,0.91723,0.79793,0.89499,0.63479,0.8178,0.68225,0.66569,0.51993,1.1312,2.39514,0.15359,0.65877,0.01243,0,0.00997019,0.00997019,0.00999718
4,1097.27,1.07865,2.29815,0.3169,0.66987,0.01032,3.34725,0.91135,0.888,0.95084,0.74252,0.84127,0.798,0.80421,0.69048,0.90289,1.70756,0.13891,0.48567,0.00925,0,0.00993906,0.00993906,0.00993906
5,1365.65,0.99355,2.00782,0.30557,0.59578,0.00941,2.6811,0.92707,0.928,0.97108,0.77494,0.86056,0.827,0.80616,0.71597,0.80751,1.63755,0.14067,0.39771,0.00828,0,0.00989183,0.00989183,0.00989183
6,1633.28,0.9439,1.86973,0.30008,0.55652,0.00887,2.2634,0.94396,0.922,0.97763,0.78599,0.88623,0.856,0.87887,0.78786,0.76886,1.22281,0.13415,0.36672,0.0076,0,0.00983133,0.00983133,0.00983133
7,1902.12,0.90802,1.76045,0.28458,0.52106,0.00844,1.8953,0.93527,0.944,0.97816,0.80819,0.85522,0.86,0.85353,0.76564,0.72333,1.37565,0.12638,0.32069,0.00744,0,0.00975773,0.00975773,0.00975773
8,2171.25,0.8819,1.70158,0.26003,0.50203,0.00813,1.6664,0.94046,0.942,0.97776,0.83441,0.91722,0.868,0.87734,0.81512,0.65844,1.08704,0.1149,0.3174,0.00654,0,0.00967122,0.00967122,0.00967122
9,2441.43,0.84393,1.61587,0.23169,0.46677,0.00776,1.49991,0.96156,0.95064,0.98634,0.84609,0.911,0.9,0.9083,0.84301,0.63043,0.97014,0.09895,0.29543,0.00601,0,0.00957205,0.00957205,0.00957205
10,2711.59,0.8312,1.54924,0.21839,0.46083,0.00759,1.24625,0.9637,0.95569,0.98659,0.85604,0.91263,0.8983,0.89879,0.84511,0.58966,0.98844,0.09241,0.27616,0.00551,0,0.00946048,0.00946048,0.00946048
11,2981.41,0.8129,1.54395,0.20448,0.4517,0.00742,1.2234,0.97352,0.95588,0.98945,0.86332,0.91053,0.89562,0.8727,0.82025,0.56513,1.08715,0.08223,0.28814,0.00531,0,0.00933683,0.00933683,0.00933683
12,3251.23,0.80573,1.47647,0.19473,0.45867,0.0073,1.03902,0.96363,0.96,0.9865,0.86571,0.92034,0.914,0.90811,0.85671,0.55604,0.85546,0.0745,0.28156,0.00515,0,0.00920142,0.00920142,0.00920142
13,3521.86,0.79341,1.44909,0.18215,0.44028,0.00715,0.88756,0.9657,0.95734,0.98914,0.87613,0.92997,0.922,0.92518,0.87923,0.53555,0.781,0.07298,0.25152,0.00507,0,0.00905463,0.00905463,0.00905463
14,3791.89,0.78831,1.3821,0.17737,0.43375,0.00714,0.79169,0.96508,0.93961,0.98841,0.87754,0.93332,0.92385,0.94,0.8856,0.53078,0.73899,0.06947,0.26294,0.00496,0,0.00889687,0.00889687,0.00889687
15,4060.51,0.77825,1.39104,0.17089,0.43159,0.00697,0.73315,0.97938,0.95,0.98799,0.88888,0.94818,0.91495,0.93292,0.89575,0.50267,0.74362,0.06559,0.26078,0.00464,0,0.00872857,0.00872857,0.00872857
16,4329.31,0.77321,1.36064,0.16441,0.42013,0.00695,0.57613,0.97554,0.957,0.99,0.89249,0.94287,0.92416,0.93385,0.8875,0.50743,0.75859,0.06139,0.23792,0.00464,0,0.00855018,0.00855018,0.00855018
17,4598.23,0.76777,1.35962,0.16067,0.41938,0.00689,0.63338,0.97859,0.966,0.99129,0.89463,0.94225,0.942,0.9471,0.90573,0.48914,0.61962,0.05791,0.23212,0.00442,0,0.0083622,0.0083622,0.0083622
18,4867.07,0.7656,1.31468,0.15689,0.41602,0.00685,0.53137,0.97809,0.96,0.99124,0.89936,0.9395,0.922,0.92367,0.89187,0.47325,0.7278,0.05461,0.23393,0.00426,0,0.00816514,0.00816514,0.00816514
19,5136.14,0.75909,1.30022,0.15358,0.4113,0.00676,0.48336,0.96921,0.97,0.98962,0.90582,0.93948,0.93139,0.93837,0.90604,0.46368,0.70433,0.05389,0.21877,0.00415,0,0.00795954,0.00795954,0.00795954
20,5406.44,0.74764,1.27669,0.14671,0.39633,0.00666,0.42235,0.98369,0.96529,0.99129,0.90461,0.95314,0.93573,0.94772,0.9159,0.45831,0.64231,0.05064,0.21324,0.00413,0,0.00774596,0.00774596,0.00774596
21,5675.67,0.75236,1.27699,0.14191,0.39836,0.00667,0.39342,0.98373,0.9675,0.99171,0.90475,0.94916,0.9335,0.93756,0.90541,0.45809,0.68388,0.04754,0.21595,0.00409,0,0.007525,0.007525,0.007525
22,5945.9,0.7458,1.21807,0.1422,0.40192,0.00674,0.39907,0.99088,0.954,0.99171,0.90551,0.96458,0.92602,0.94522,0.90943,0.45159,0.66532,0.04626,0.22079,0.00402,0,0.00729725,0.00729725,0.00729725
23,6215.54,0.7384,1.21293,0.13482,0.39079,0.00654,0.32061,0.98359,0.96,0.99153,0.90572,0.95048,0.928,0.9378,0.90358,0.44922,0.66633,0.04534,0.21266,0.004,0,0.00706335,0.00706335,0.00706335
24,6485.55,0.7281,1.18735,0.12801,0.38105,0.00643,0.23868,0.98048,0.972,0.99282,0.9098,0.9526,0.942,0.94844,0.91627,0.44793,0.63084,0.04276,0.20274,0.00394,0,0.00682392,0.00682392,0.00682392
25,6755.83,0.71544,1.17707,0.12521,0.37085,0.00635,0.25437,0.97588,0.966,0.9926,0.91173,0.94552,0.93718,0.94174,0.91079,0.44924,0.62777,0.04178,0.20385,0.00395,0,0.00657963,0.00657963,0.00657963
26,7026.35,0.70825,1.16159,0.12203,0.36985,0.00623,0.22147,0.98361,0.96037,0.99283,0.91471,0.95494,0.93252,0.94803,0.91534,0.44161,0.61592,0.04046,0.20175,0.00388,0,0.00633115,0.00633115,0.00633115
27,7298.07,0.69443,1.15619,0.11924,0.35736,0.00609,0.23463,0.97796,0.972,0.99262,0.91566,0.94961,0.944,0.94385,0.91589,0.44053,0.60338,0.03954,0.20026,0.00382,0,0.00607916,0.00607916,0.00607916
28,7567.53,0.69004,1.10823,0.11334,0.35554,0.00604,0.17031,0.97534,0.968,0.99253,0.91559,0.94896,0.942,0.95122,0.91622,0.44076,0.58362,0.03872,0.20468,0.00384,0,0.00582435,0.00582435,0.00582435
29,7838.58,0.67909,1.09865,0.11228,0.3512,0.00593,0.1507,0.98762,0.95746,0.99302,0.91583,0.95936,0.94418,0.95371,0.92525,0.44043,0.5626,0.03822,0.19832,0.00386,0,0.00556742,0.00556742,0.00556742
30,8108.31,0.66149,1.05893,0.10585,0.33689,0.00576,0.12957,0.98256,0.962,0.99259,0.91658,0.95266,0.946,0.95237,0.91888,0.43537,0.58664,0.03703,0.20169,0.00383,0,0.00530906,0.00530906,0.00530906
31,8378.39,0.66177,1.06885,0.10469,0.32958,0.00573,0.12584,0.98772,0.96523,0.9927,0.91988,0.95949,0.94741,0.95273,0.91898,0.43355,0.59518,0.03523,0.20118,0.00378,0,0.00505,0.00505,0.00505
32,8648.77,0.65141,1.02324,0.10165,0.3299,0.00565,0.10569,0.98369,0.96524,0.99225,0.91989,0.95543,0.94324,0.94412,0.91936,0.42999,0.58754,0.03438,0.20544,0.00376,0,0.00479094,0.00479094,0.00479094
33,8919.23,0.63052,0.99035,0.09582,0.31302,0.00542,0.09401,0.98367,0.96351,0.9921,0.91983,0.95892,0.93373,0.94395,0.91987,0.42895,0.59405,0.03341,0.20659,0.00374,0,0.00453258,0.00453258,0.00453258
34,9189.63,0.62649,0.97576,0.09405,0.31149,0.0054,0.07721,0.9778,0.9691,0.99257,0.91866,0.95354,0.94407,0.94393,0.92013,0.42886,0.59952,0.03265,0.20337,0.00376,0,0.00427565,0.00427565,0.00427565
35,9461.42,0.61034,0.9533,0.08963,0.30267,0.00522,0.0654,0.98379,0.97097,0.99288,0.91949,0.96133,0.94476,0.94401,0.9198,0.4311,0.59397,0.03197,0.19676,0.00377,0,0.00402084,0.00402084,0.00402084
36,9732.52,0.60317,0.92445,0.08638,0.29574,0.0052,0.05755,0.98169,0.96503,0.99256,0.92062,0.95725,0.94048,0.95145,0.92345,0.43052,0.58511,0.03117,0.20099,0.00378,0,0.00376885,0.00376885,0.00376885
37,10003.6,0.5904,0.91834,0.08378,0.28731,0.00509,0.04129,0.98569,0.96449,0.99259,0.92095,0.96119,0.94117,0.95171,0.92401,0.42881,0.57488,0.03013,0.20037,0.00377,0,0.00352037,0.00352037,0.00352037
38,10274.2,0.57412,0.85614,0.08067,0.27783,0.00489,0.02779,0.97,0.97001,0.9925,0.92162,0.96091,0.936,0.95249,0.92469,0.42893,0.56877,0.02897,0.19906,0.00377,0,0.00327608,0.00327608,0.00327608
39,10545.1,0.56121,0.84179,0.07823,0.27304,0.00478,0.02406,0.97767,0.96314,0.99247,0.92072,0.9648,0.934,0.95228,0.92509,0.42896,0.56458,0.02807,0.19595,0.00377,0,0.00303665,0.00303665,0.00303665
40,10815.5,0.55315,0.83565,0.07795,0.27028,0.00471,0.02463,0.97584,0.9693,0.9925,0.92066,0.95368,0.94709,0.95246,0.92585,0.42834,0.56067,0.02724,0.1972,0.00376,0,0.00280275,0.00280275,0.00280275
41,11085.8,0.54019,0.80484,0.07323,0.2631,0.00458,0.00876,0.97411,0.97,0.99214,0.92079,0.95346,0.946,0.95173,0.92664,0.4272,0.55716,0.02631,0.1974,0.00376,0,0.002575,0.002575,0.002575
42,11357.1,0.52742,0.75713,0.07148,0.25509,0.00447,0.01111,0.97206,0.974,0.99235,0.92196,0.9481,0.95,0.95214,0.92682,0.4258,0.55531,0.02558,0.19402,0.00374,0,0.00235404,0.00235404,0.00235404
43,11627,0.52544,0.76606,0.06917,0.25878,0.0045,0.00495,0.98373,0.96766,0.99282,0.92145,0.95927,0.94217,0.953,0.92767,0.42485,0.5536,0.02455,0.18916,0.00374,0,0.00214046,0.00214046,0.00214046
44,11897.8,0.51138,0.7453,0.0691,0.25041,0.00435,0.00384,0.98771,0.96423,0.99307,0.92287,0.96316,0.94118,0.95286,0.92929,0.42131,0.55165,0.02379,0.18672,0.0037,0,0.00193486,0.00193486,0.00193486
45,12168.9,0.50325,0.72676,0.06776,0.24212,0.00427,0.00335,0.98572,0.96659,0.99321,0.9239,0.96125,0.94259,0.95303,0.92872,0.41938,0.54969,0.02329,0.18175,0.00369,0,0.0017378,0.0017378,0.0017378
46,12439.1,0.48759,0.6808,0.06402,0.23698,0.0041,0.00149,0.988,0.97,0.99321,0.92435,0.96351,0.946,0.9531,0.93029,0.4161,0.54708,0.02255,0.17876,0.00365,0,0.00154982,0.00154982,0.00154982
47,12709.4,0.47924,0.68567,0.0628,0.23044,0.00401,0.00192,0.97721,0.978,0.9929,0.92538,0.95845,0.944,0.95265,0.92839,0.41162,0.54187,0.02185,0.18261,0.00361,0,0.00137143,0.00137143,0.00137143
48,12979.9,0.47356,0.65006,0.06166,0.22854,0.00399,0.00158,0.98006,0.98294,0.99332,0.92554,0.95944,0.94615,0.95288,0.9286,0.4099,0.5384,0.02113,0.17641,0.00359,0,0.00120313,0.00120313,0.00120313
49,13250.6,0.46273,0.62868,0.05981,0.22244,0.00387,5e-05,0.97428,0.98473,0.99333,0.92638,0.95645,0.946,0.95244,0.92876,0.40436,0.53618,0.02047,0.17833,0.00355,0,0.00104537,0.00104537,0.00104537
50,13520.8,0.45582,0.60886,0.0587,0.21821,0.0038,0.00022,0.98192,0.97733,0.99343,0.92659,0.95944,0.94619,0.95241,0.92944,0.40126,0.5334,0.01975,0.1776,0.00352,0,0.000898581,0.000898581,0.000898581
51,13791.3,0.35557,0.38692,0.0128,0.14578,0.0029,0,0.98406,0.97,0.9936,0.92806,0.96101,0.944,0.95204,0.92906,0.39751,0.52849,0.01893,0.17708,0.00348,0,0.000763174,0.000763174,0.000763174
52,14058.8,0.34915,0.3873,0.0126,0.14137,0.00283,0,0.98502,0.976,0.99383,0.92907,0.96376,0.944,0.95294,0.93062,0.39472,0.51392,0.01817,0.17399,0.00345,0,0.000639518,0.000639518,0.000639518
53,14325.9,0.34266,0.37473,0.01227,0.13733,0.00278,0,0.98183,0.97286,0.99373,0.92952,0.97292,0.93426,0.95277,0.93211,0.38997,0.50208,0.01731,0.17411,0.00341,0,0.00052795,0.00052795,0.00052795
54,14593.4,0.33701,0.35058,0.01098,0.1347,0.00274,0,0.97269,0.984,0.9936,0.92901,0.96871,0.92873,0.95195,0.93137,0.38743,0.48304,0.01648,0.17744,0.00339,0,0.000428777,0.000428777,0.000428777
55,14860.3,0.33489,0.34766,0.01137,0.13207,0.00272,0,0.97813,0.98402,0.99405,0.93186,0.97498,0.938,0.96273,0.93893,0.38645,0.46463,0.01616,0.16692,0.00338,0,0.00034227,0.00034227,0.00034227
56,15127.4,0.33154,0.3433,0.01091,0.13214,0.00268,0.00089,0.97244,0.98803,0.99403,0.93046,0.97469,0.938,0.96436,0.93944,0.38214,0.46237,0.01552,0.16804,0.00335,0,0.000268667,0.000268667,0.000268667
57,15395,0.32881,0.33374,0.01141,0.12963,0.00267,0,0.97565,0.988,0.99416,0.93172,0.96824,0.942,0.96555,0.9401,0.37686,0.46209,0.01496,0.16403,0.0033,0,0.000208169,0.000208169,0.000208169
58,15662.5,0.32655,0.32259,0.0111,0.12961,0.00265,0,0.98078,0.988,0.99446,0.93322,0.96557,0.95345,0.96518,0.93866,0.37425,0.4632,0.01444,0.16091,0.00326,0,0.000160943,0.000160943,0.000160943
59,15930.6,0.32304,0.3276,0.01057,0.12783,0.00261,0,0.97616,0.98287,0.99426,0.93253,0.96995,0.932,0.94944,0.92977,0.37187,0.48765,0.01391,0.1612,0.00324,0,0.000127117,0.000127117,0.000127117
60,16198.8,0.32187,0.31654,0.01082,0.12662,0.0026,0,0.98214,0.98959,0.99444,0.93551,0.95279,0.952,0.95032,0.93188,0.36842,0.49209,0.01353,0.15617,0.00321,0,0.000106784,0.000106784,0.000106784
