epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,279.045,1.24186,4.73965,0.46885,1.06026,0.0124,7.66638,0.90547,0.89654,0.95253,0.70422,0.80845,0.74324,0.72473,0.5286,0.99038,2.36548,0.22298,0.48093,0.01018,0,0.00333053,0.00333053,0.0700253
2,544.026,0.98301,2.41898,0.33871,0.5687,0.00922,3.7741,0.93255,0.91491,0.96707,0.73804,0.8432,0.81081,0.79755,0.65241,0.90105,1.84159,0.1609,0.41305,0.00921,0,0.00664579,0.00664579,0.0400072
3,802.056,1.02384,2.32573,0.3184,0.62416,0.00973,3.54409,0.89431,0.83428,0.90923,0.65432,0.80574,0.73281,0.74553,0.58246,1.07881,2.21374,0.14052,0.65443,0.01162,0,0.00988906,0.00988906,0.00991711
4,1061.58,1.07008,2.31991,0.3095,0.68508,0.01029,3.44146,0.90883,0.88889,0.95162,0.71767,0.82752,0.79485,0.79238,0.66234,0.92512,1.78773,0.14055,0.49865,0.00963,0,0.00975773,0.00975773,0.00975773
5,1321.61,0.99434,2.07323,0.30082,0.60856,0.0094,2.84904,0.94752,0.92172,0.96974,0.76111,0.88724,0.84434,0.85135,0.73846,0.83963,1.46878,0.13342,0.4057,0.00858,0,0.00957205,0.00957205,0.00957205
6,1581.03,0.93099,1.86022,0.29521,0.56126,0.00866,2.22846,0.93965,0.91291,0.96885,0.77468,0.86237,0.8248,0.83271,0.73654,0.78154,1.47972,0.13126,0.41172,0.00781,0,0.00933683,0.00933683,0.00933683
7,1840.71,0.89534,1.76313,0.28269,0.54138,0.00826,1.8879,0.94862,0.93324,0.97547,0.79262,0.89008,0.86537,0.8708,0.77659,0.7549,1.27964,0.1209,0.36857,0.00735,0,0.00905463,0.00905463,0.00905463
8,2099.17,0.86482,1.65747,0.25871,0.51435,0.00793,1.5646,0.95235,0.93393,0.98211,0.80757,0.89889,0.87387,0.88413,0.80041,0.70155,1.12706,0.10633,0.33444,0.00682,0,0.00872857,0.00872857,0.00872857
9,2357.97,0.84164,1.6105,0.23084,0.49653,0.00776,1.40514,0.96255,0.95186,0.98504,0.83819,0.90694,0.88777,0.88362,0.81682,0.62744,1.07854,0.0904,0.29862,0.00606,0,0.0083622,0.0083622,0.0083622
10,2618.7,0.82558,1.53673,0.20978,0.48144,0.00752,1.10948,0.96425,0.94494,0.98477,0.84412,0.91635,0.89439,0.89564,0.83351,0.6112,0.98544,0.07945,0.30317,0.00588,0,0.00795954,0.00795954,0.00795954
11,2878.4,0.8024,1.45301,0.1956,0.45975,0.00725,0.87559,0.96746,0.95596,0.98947,0.8566,0.9336,0.90069,0.9142,0.85311,0.58388,0.84911,0.07194,0.27458,0.00556,0,0.007525,0.007525,0.007525
12,3139.75,0.78154,1.40305,0.18271,0.45204,0.007,0.76988,0.95991,0.96296,0.98821,0.86935,0.93314,0.91191,0.92738,0.86866,0.55339,0.75778,0.06351,0.28181,0.00518,0,0.00706335,0.00706335,0.00706335
13,3400.38,0.76473,1.33568,0.17244,0.43702,0.00682,0.5809,0.96668,0.95848,0.98919,0.87718,0.92938,0.91091,0.91917,0.86737,0.52945,0.81463,0.05704,0.25355,0.00487,0,0.00657963,0.00657963,0.00657963
