epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2746,0.5752,0.72581,0.09138,0.30276,0.00545,0.09581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,41.4584,0.43002,0.45271,0.06395,0.19938,0.00374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,61.4929,0.40407,0.40218,0.06468,0.19026,0.00356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,81.8217,0.38039,0.3469,0.05855,0.18319,0.00333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,101.887,0.37033,0.34686,0.05974,0.17731,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,122.109,0.35786,0.34253,0.05593,0.16555,0.00306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,142.34,0.34826,0.27156,0.05275,0.15891,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,163.298,0.28422,0.16339,0.02868,0.12647,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,183.108,0.26963,0.1655,0.02809,0.12013,0.00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,213.82,0.26715,0.16123,0.02696,0.12133,0.0023,0,0.99576,0.98993,0.99486,0.97854,0.99196,0.98566,0.99225,0.98719,0.23255,0.12934,0.01994,0.09718,0.00211,0,6.8454e-05,6.8454e-05,6.8454e-05
