epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4429,0.68821,1.1546,0.1472,0.50764,0.0119,0.7459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,42.6019,0.47788,0.60537,0.09246,0.26962,0.00708,0.01524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,63.6939,0.43481,0.46013,0.08098,0.22352,0.00619,0.00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,84.7815,0.39953,0.39929,0.07001,0.20347,0.00547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,106.358,0.38297,0.36272,0.06633,0.18334,0.00507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,127.416,0.36661,0.35595,0.06364,0.18327,0.00473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,147.913,0.35249,0.32402,0.06418,0.16956,0.00461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,169.706,0.27287,0.16962,0.03237,0.1221,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,189.857,0.26354,0.16376,0.03205,0.1159,0.00369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,219.206,0.2482,0.16592,0.03012,0.10808,0.00336,0,0.99362,0.99271,0.99491,0.97907,0.98889,0.98715,0.992,0.98731,0.22827,0.1285,0.0282,0.08772,0.00317,0,6.8454e-05,6.8454e-05,6.8454e-05
