epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3433,0.69461,0.89889,0.12034,0.46395,0.01074,0.58681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,46.1027,0.48297,0.4744,0.08328,0.26176,0.00655,0.00859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,67.7377,0.4221,0.42344,0.07642,0.21456,0.00563,0.01075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,88.4195,0.38839,0.39897,0.0669,0.19946,0.00499,0.00746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,109.254,0.36806,0.3128,0.06601,0.18451,0.00458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,131.225,0.35912,0.33576,0.06213,0.17932,0.00444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,153.466,0.34409,0.30116,0.06058,0.16978,0.00425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,176.749,0.26336,0.16608,0.03022,0.12197,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,197.85,0.25597,0.13422,0.03204,0.11688,0.00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,227.109,0.24609,0.14051,0.031,0.11373,0.00311,0,0.99823,0.97646,0.99423,0.97438,0.99361,0.97194,0.99224,0.98928,0.23736,0.12076,0.02281,0.10972,0.00316,0,6.8454e-05,6.8454e-05,6.8454e-05
