epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6329,0.64793,0.89279,0.09173,0.4041,0.00629,0.21328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0.00178,0.01278
2,46.1446,0.50861,0.54824,0.05971,0.25923,0.00449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195155,0.00195155,0.00195155
3,66.8768,0.46127,0.46242,0.05215,0.2205,0.00386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181093,0.00181093,0.00181093
4,88.11,0.43177,0.42006,0.04509,0.20143,0.00371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159191,0.00159191,0.00159191
5,108.89,0.4171,0.34447,0.04723,0.19152,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131593,0.00131593,0.00131593
6,129.582,0.40778,0.37909,0.04791,0.1904,0.00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,150.573,0.39521,0.33806,0.04772,0.18715,0.00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704073,0.000704073,0.000704073
8,172.584,0.32566,0.22523,0.02001,0.14038,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000428093,0.000428093,0.000428093
9,192.893,0.31118,0.20143,0.0198,0.14292,0.00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209073,0.000209073,0.000209073
10,220.646,0.30342,0.19827,0.01754,0.14042,0.00247,0,0.96609,0.98507,0.99246,0.96452,0.96042,0.98021,0.98911,0.97872,0.28714,0.15836,0.01048,0.14813,0.0025,0,6.8454e-05,6.8454e-05,6.8454e-05
