session_key,session_name,root,frame_count,resolution,first_frame,last_frame,stem_is_timestamp,timestamp_min,timestamp_max,intrinsics_hash,has_provenance,n_metadata_files,filename_list_sha256
data/pallet/raw_data/_night_all,_night_all,data/pallet/raw_data,1624,640x480,1779449171575465984.png,1779449347291347968.png,True,1779449171575465984,1779449347291347968,a088ca9add4cc279,False,5,b3feb858a3d3b2e802b533bda66c00db34a041a9cf26a3b14fd2a58a737c5a19
data/pallet/raw_data/_outside_all,_outside_all,data/pallet/raw_data,2976,640x480,1778651516783228672.png,1778653561392762624.png,True,1778651516783228672,1778653561392762624,9077880ab225b04e,False,5,f6f0da15bfc5e1f09e81a991b8b60a926dc313f86764f277d29adef29ad34aa6
data/pallet/raw_data/_procedural_textures,_procedural_textures,data/pallet/raw_data,21,512x512,beige_tile_00.png,wood_plank_02.png,False,,,,False,4,af8ae6b35897ea5a886243fce2600a30f36ff76e1d32c6476c0493b358ff65ac
data/pallet/raw_data/capture02,capture02,data/pallet/raw_data,1452,640x480,1775092510058104576.png,1775092725594131968.png,True,1775092510058104576,1775092725594131968,dd5f372350e5b872,False,5,69d6f905f7f7acae92323ad121b4f4af205f94727535e7c7c57c1d6a097fea2d
data/pallet/raw_data/capture03,capture03,data/pallet/raw_data,571,640x480,1775092846948587776.png,1775092933325747456.png,True,1775092846948587776,1775092933325747456,11127ad26bbb6823,False,5,a388c5428efe63b1d712b05d2439665d2a4916e4dbabbe217c9d17dd0812b44d
data/pallet/raw_data/capture0403middle/gt_final_isaac_overlay,gt_final_isaac_overlay,data/pallet/raw_data,440,640x480,1775201155966553600_overlay.jpg,1775201215096870400_overlay.jpg,False,,,eb1ed8729a25b3d1,False,4,eeab5f1a066be78f972ac2302cba3af54c4c297ee7fb1b4f4777624e506cd35d
data/pallet/raw_data/capture0403middle/gt_final_overlay,gt_final_overlay,data/pallet/raw_data,440,640x480,1775201155966553600.jpg,1775201215096870400.jpg,True,1775201155966553600,1775201215096870400,eb1ed8729a25b3d1,False,4,a98ac7461c853233657d48112627722aee9310d42799b5a6e4cd36f48eb82973
data/pallet/raw_data/capture0403middle/gt_manual_overlay,gt_manual_overlay,data/pallet/raw_data,130,640x480,1775201155966553600.jpg,1775201215096870400.jpg,True,1775201155966553600,1775201215096870400,eb1ed8729a25b3d1,False,4,78fbfd0cdab12e9e34c6c008691c2179d4d30a0aaeca06cde9bede94a5ea65d4
data/pallet/raw_data/capture0403middle/gt_overlay,gt_overlay,data/pallet/raw_data,437,640x480,1775201155966553600.jpg,1775201215096870400.jpg,True,1775201155966553600,1775201215096870400,eb1ed8729a25b3d1,False,4,b165472ef06e90b3192158e9cd7e3e116f029a879569b8bf6d038e120c4428fe
data/pallet/raw_data/capture0403middle,capture0403middle,data/pallet/raw_data,440,640x480,1775201155966553600.png,1775201215096870400.png,True,1775201155966553600,1775201215096870400,eb1ed8729a25b3d1,False,7,d5a8a779a55f3cb5137d95a79cd6f28364fff46e690f28fa4303c1024f9eed3f
